 

stn;time;brefard0
UEB;20071124;0
UEB;20071125;0
UEB;20071126;0
UEB;20071127;0
UEB;20071128;0
UEB;20071129;0
UEB;20071130;0
UEB;20071201;0
UEB;20071202;0
UEB;20071203;7
UEB;20071204;0
UEB;20071205;0
UEB;20071206;0
UEB;20071207;0
UEB;20071208;0
UEB;20071209;0
UEB;20071210;0
UEB;20071211;0
UEB;20071212;0
UEB;20071213;0
UEB;20071214;0
UEB;20071215;0
UEB;20071216;0
UEB;20071217;0
UEB;20071218;0
UEB;20071219;0
UEB;20071220;0
UEB;20071221;0
UEB;20071222;0
UEB;20071223;0
UEB;20071224;0
UEB;20071225;0
UEB;20071226;0
UEB;20071227;0
UEB;20071228;0
UEB;20071229;0
UEB;20071230;0
UEB;20071231;0
UEB;20080101;0
UEB;20080102;0
UEB;20080103;0
UEB;20080104;0
UEB;20080105;0
UEB;20080106;0
UEB;20080107;0
UEB;20080108;0
UEB;20080109;0
UEB;20080110;0
UEB;20080111;0
UEB;20080112;0
UEB;20080113;0
UEB;20080114;0
UEB;20080115;0
UEB;20080116;0
UEB;20080117;0
UEB;20080118;0
UEB;20080119;0
UEB;20080120;0
UEB;20080121;0
UEB;20080122;0
UEB;20080123;0
UEB;20080124;0
UEB;20080125;0
UEB;20080126;0
UEB;20080127;0
UEB;20080128;0
UEB;20080129;0
UEB;20080130;0
UEB;20080131;0
UEB;20080201;0
UEB;20080202;0
UEB;20080203;0
UEB;20080204;0
UEB;20080205;0
UEB;20080206;0
UEB;20080207;0
UEB;20080208;0
UEB;20080209;0
UEB;20080210;0
UEB;20080211;0
UEB;20080212;0
UEB;20080213;0
UEB;20080214;0
UEB;20080215;0
UEB;20080216;0
UEB;20080217;0
UEB;20080218;0
UEB;20080219;0
UEB;20080220;0
UEB;20080221;0
UEB;20080222;0
UEB;20080223;0
UEB;20080224;0
UEB;20080225;0
UEB;20080226;0
UEB;20080227;0
UEB;20080228;0
UEB;20080229;0
UEB;20080301;0
UEB;20080302;0
UEB;20080303;0
UEB;20080304;0
UEB;20080305;0
UEB;20080306;0
UEB;20080307;0
UEB;20080308;0
UEB;20080309;0
UEB;20080310;0
UEB;20080311;0
UEB;20080312;1
UEB;20080313;0
UEB;20080314;0
UEB;20080315;0
UEB;20080316;0
UEB;20080317;0
UEB;20080318;0
UEB;20080319;0
UEB;20080320;0
UEB;20080321;0
UEB;20080322;0
UEB;20080323;0
UEB;20080324;0
UEB;20080325;0
UEB;20080326;0
UEB;20080327;0
UEB;20080328;0
UEB;20080329;0
UEB;20080330;0
UEB;20080331;0
UEB;20080401;0
UEB;20080402;0
UEB;20080403;0
UEB;20080404;0
UEB;20080405;0
UEB;20080406;0
UEB;20080407;0
UEB;20080408;0
UEB;20080409;0
UEB;20080410;1
UEB;20080411;1
UEB;20080412;0
UEB;20080413;0
UEB;20080414;0
UEB;20080415;2
UEB;20080416;4
UEB;20080417;0
UEB;20080418;0
UEB;20080419;0
UEB;20080420;0
UEB;20080421;0
UEB;20080422;0
UEB;20080423;1
UEB;20080424;0
UEB;20080425;0
UEB;20080426;0
UEB;20080427;0
UEB;20080428;0
UEB;20080429;0
UEB;20080430;0
UEB;20080501;0
UEB;20080502;0
UEB;20080503;0
UEB;20080504;0
UEB;20080505;0
UEB;20080506;0
UEB;20080507;0
UEB;20080508;0
UEB;20080509;0
UEB;20080510;0
UEB;20080511;59
UEB;20080512;17
UEB;20080513;0
UEB;20080514;0
UEB;20080515;65
UEB;20080516;26
UEB;20080517;0
UEB;20080518;2
UEB;20080519;0
UEB;20080520;0
UEB;20080521;0
UEB;20080522;0
UEB;20080523;0
UEB;20080524;0
UEB;20080525;2
UEB;20080526;0
UEB;20080527;1
UEB;20080528;0
UEB;20080529;500
UEB;20080530;387
UEB;20080531;37
UEB;20080601;0
UEB;20080602;16
UEB;20080603;39
UEB;20080604;0
UEB;20080605;0
UEB;20080606;1
UEB;20080607;0
UEB;20080608;79
UEB;20080609;7
UEB;20080610;872
UEB;20080611;205
UEB;20080612;8
UEB;20080613;0
UEB;20080614;0
UEB;20080615;0
UEB;20080616;0
UEB;20080617;0
UEB;20080618;0
UEB;20080619;0
UEB;20080620;0
UEB;20080621;0
UEB;20080622;0
UEB;20080623;1
UEB;20080624;0
UEB;20080625;120
UEB;20080626;1
UEB;20080627;1
UEB;20080628;0
UEB;20080629;160
UEB;20080630;6
UEB;20080701;527
UEB;20080702;48
UEB;20080703;93
UEB;20080704;0
UEB;20080705;0
UEB;20080706;2
UEB;20080707;0
UEB;20080708;0
UEB;20080709;0
UEB;20080710;0
UEB;20080711;159
UEB;20080712;1
UEB;20080713;0
UEB;20080714;0
UEB;20080715;0
UEB;20080716;0
UEB;20080717;1
UEB;20080718;0
UEB;20080719;19
UEB;20080720;116
UEB;20080721;0
UEB;20080722;0
UEB;20080723;0
UEB;20080724;0
UEB;20080725;0
UEB;20080726;28
UEB;20080727;13
UEB;20080728;212
UEB;20080729;103
UEB;20080730;71
UEB;20080731;0
