Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 93924

Filename                                Filetype  Station                              Parameter                                                   Period
order_93924_KAMUN_tre200d0_1_data.txt   Data      Münchenstein                         Air temperature 2 m above ground; daily mean                20181126-20210106
order_93924_KAMUN_tre200d0_1_legend.txt Legend    Münchenstein                         Air temperature 2 m above ground; daily mean                20181126-20210106
order_93924_DLNEH_tre200d0_1_data.txt   Data      Neuhütten                            Air temperature 2 m above ground; daily mean                20200828-20210414
order_93924_DLNEH_tre200d0_1_legend.txt Legend    Neuhütten                            Air temperature 2 m above ground; daily mean                20200828-20210414
order_93924_DLNOT_tre200d0_1_data.txt   Data      Notzingen                            Air temperature 2 m above ground; daily mean                20040630-20210414
order_93924_DLNOT_tre200d0_1_legend.txt Legend    Notzingen                            Air temperature 2 m above ground; daily mean                20040630-20210414
order_93924_DLNUE_tre200d0_1_data.txt   Data      Nürnberg                             Air temperature 2 m above ground; daily mean                18781231-19301230
order_93924_DLNUE_tre200d0_1_legend.txt Legend    Nürnberg                             Air temperature 2 m above ground; daily mean                18781231-19301230
order_93924_DLNUE_tre200d0_2_data.txt   Data      Nürnberg                             Air temperature 2 m above ground; daily mean                19550331-20210414
order_93924_DLNUE_tre200d0_2_legend.txt Legend    Nürnberg                             Air temperature 2 m above ground; daily mean                19550331-20210414
order_93924_KAOWL_tre200d0_1_data.txt   Data      Oberwil                              Air temperature 2 m above ground; daily mean                20181126-20210414
order_93924_KAOWL_tre200d0_1_legend.txt Legend    Oberwil                              Air temperature 2 m above ground; daily mean                20181126-20210414
order_93924_DLREG_tre200d0_1_data.txt   Data      Regensburg                           Air temperature 2 m above ground; daily mean                20200829-20210414
order_93924_DLREG_tre200d0_1_legend.txt Legend    Regensburg                           Air temperature 2 m above ground; daily mean                20200829-20210414
order_93924_KAREH_tre200d0_1_data.txt   Data      Reinach                              Air temperature 2 m above ground; daily mean                20181126-20210414
order_93924_KAREH_tre200d0_1_legend.txt Legend    Reinach                              Air temperature 2 m above ground; daily mean                20181126-20210414
order_93924_RHF_tre200d0_1_data.txt     Data      Rheinfelden                          Air temperature 2 m above ground; daily mean                19581231-20051129
order_93924_RHF_tre200d0_1_legend.txt   Legend    Rheinfelden                          Air temperature 2 m above ground; daily mean                19581231-20051129
order_93924_DLRFE_tre200d0_1_data.txt   Data      Rheinfelden                          Air temperature 2 m above ground; daily mean                19530831-20141230
order_93924_DLRFE_tre200d0_1_legend.txt Legend    Rheinfelden                          Air temperature 2 m above ground; daily mean                19530831-20141230
order_93924_DLRFE_tre200d0_2_data.txt   Data      Rheinfelden                          Air temperature 2 m above ground; daily mean                20160630-20210412
order_93924_DLRFE_tre200d0_2_legend.txt Legend    Rheinfelden                          Air temperature 2 m above ground; daily mean                20160630-20210412
order_93924_KAROD_tre200d0_1_data.txt   Data      Rodersdorf                           Air temperature 2 m above ground; daily mean                20181126-20210414
order_93924_KAROD_tre200d0_1_legend.txt Legend    Rodersdorf                           Air temperature 2 m above ground; daily mean                20181126-20210414
order_93924_DLROH_tre200d0_1_data.txt   Data      Roth                                 Air temperature 2 m above ground; daily mean                20200829-20210414
order_93924_DLROH_tre200d0_1_legend.txt Legend    Roth                                 Air temperature 2 m above ground; daily mean                20200829-20210414
order_93924_DLRON_tre200d0_1_data.txt   Data      Rottenburg am Neckar                 Air temperature 2 m above ground; daily mean                19790630-19940629
order_93924_DLRON_tre200d0_1_legend.txt Legend    Rottenburg am Neckar                 Air temperature 2 m above ground; daily mean                19790630-19940629
order_93924_DLRON_tre200d0_2_data.txt   Data      Rottenburg am Neckar                 Air temperature 2 m above ground; daily mean                19950331-20021013
order_93924_DLRON_tre200d0_2_legend.txt Legend    Rottenburg am Neckar                 Air temperature 2 m above ground; daily mean                19950331-20021013
order_93924_DLSAA_tre200d0_1_data.txt   Data      Saarbrücken / Ensheim                Air temperature 2 m above ground; daily mean                19501231-20210414
order_93924_DLSAA_tre200d0_1_legend.txt Legend    Saarbrücken / Ensheim                Air temperature 2 m above ground; daily mean                19501231-20210414
order_93924_IYSAU_tre200d0_1_data.txt   Data      Salurn                               Air temperature 2 m above ground; daily mean                19551231
order_93924_IYSAU_tre200d0_1_legend.txt Legend    Salurn                               Air temperature 2 m above ground; daily mean                19551231
order_93924_IYSAU_tre200d0_2_data.txt   Data      Salurn                               Air temperature 2 m above ground; daily mean                19770101-19801230
order_93924_IYSAU_tre200d0_2_legend.txt Legend    Salurn                               Air temperature 2 m above ground; daily mean                19770101-19801230
