Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94090

Filename                                Filetype  Station                              Parameter                                                   Period
order_94090_VDCOR_rre150m0_23_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                201001-201010
order_94090_VDCOR_rre150m0_24_data.txt  Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                201012-201111
order_94090_VDCOR_rre150m0_24_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                201012-201111
order_94090_VDCOR_rre150m0_25_data.txt  Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                201112-201211
order_94090_VDCOR_rre150m0_25_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                201112-201211
order_94090_VDCOR_rre150m0_26_data.txt  Data      Corcelles-sur-Chavronay              Precipitation; monthly total                                201212-202103
order_94090_VDCOR_rre150m0_26_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; monthly total                                201212-202103
order_94090_EGO_rre150m0_1_data.txt     Data      Egolzwil                             Precipitation; monthly total                                197312-202103
order_94090_EGO_rre150m0_1_legend.txt   Legend    Egolzwil                             Precipitation; monthly total                                197312-202103
order_94090_DLEGN_rre150m0_1_data.txt   Data      Engen                                Precipitation; monthly total                                198607-199203
order_94090_DLEGN_rre150m0_1_legend.txt Legend    Engen                                Precipitation; monthly total                                198607-199203
order_94090_DLEGN_rre150m0_2_data.txt   Data      Engen                                Precipitation; monthly total                                199208-199807
order_94090_DLEGN_rre150m0_2_legend.txt Legend    Engen                                Precipitation; monthly total                                199208-199807
order_94090_DLEGN_rre150m0_3_data.txt   Data      Engen                                Precipitation; monthly total                                200406-200712
order_94090_DLEGN_rre150m0_3_legend.txt Legend    Engen                                Precipitation; monthly total                                200406-200712
order_94090_DLEGN_rre150m0_4_data.txt   Data      Engen                                Precipitation; monthly total                                200310-200405
order_94090_DLEGN_rre150m0_4_legend.txt Legend    Engen                                Precipitation; monthly total                                200310-200405
order_94090_DLEGN_rre150m0_5_data.txt   Data      Engen                                Precipitation; monthly total                                200406-200809
order_94090_DLEGN_rre150m0_5_legend.txt Legend    Engen                                Precipitation; monthly total                                200406-200809
order_94090_KAEPT_rre150m0_1_data.txt   Data      Eptingen                             Precipitation; monthly total                                201811-202012
order_94090_KAEPT_rre150m0_1_legend.txt Legend    Eptingen                             Precipitation; monthly total                                201811-202012
order_94090_AGFAW_rre150m0_1_data.txt   Data      Fahrwangen                           Precipitation; monthly total                                200007-200906
order_94090_AGFAW_rre150m0_1_legend.txt Legend    Fahrwangen                           Precipitation; monthly total                                200007-200906
order_94090_AGFAW_rre150m0_2_data.txt   Data      Fahrwangen                           Precipitation; monthly total                                200912-202103
order_94090_AGFAW_rre150m0_2_legend.txt Legend    Fahrwangen                           Precipitation; monthly total                                200912-202103
order_94090_FEH_rre150m0_1_data.txt     Data      Fehraltdorf                          Precipitation; monthly total                                190012-195212
order_94090_FEH_rre150m0_1_legend.txt   Legend    Fehraltdorf                          Precipitation; monthly total                                190012-195212
order_94090_DLFEL_rre150m0_1_data.txt   Data      Feldkirchen-Westerham / Lenzmühle    Precipitation; monthly total                                195812-199711
order_94090_DLFEL_rre150m0_1_legend.txt Legend    Feldkirchen-Westerham / Lenzmühle    Precipitation; monthly total                                195812-199711
order_94090_DLFEL_rre150m0_2_data.txt   Data      Feldkirchen-Westerham / Lenzmühle    Precipitation; monthly total                                199712-200003
order_94090_DLFEL_rre150m0_2_legend.txt Legend    Feldkirchen-Westerham / Lenzmühle    Precipitation; monthly total                                199712-200003
order_94090_DLFEL_rre150m0_3_data.txt   Data      Feldkirchen-Westerham / Lenzmühle    Precipitation; monthly total                                200101-200105
order_94090_DLFEL_rre150m0_3_legend.txt Legend    Feldkirchen-Westerham / Lenzmühle    Precipitation; monthly total                                200101-200105
order_94090_DLFEL_rre150m0_4_data.txt   Data      Feldkirchen-Westerham / Lenzmühle    Precipitation; monthly total                                200612-202103
order_94090_DLFEL_rre150m0_4_legend.txt Legend    Feldkirchen-Westerham / Lenzmühle    Precipitation; monthly total                                200612-202103
order_94090_DLGEL_rre150m0_1_data.txt   Data      Gelbelsee                            Precipitation; monthly total                                202008-202102
order_94090_DLGEL_rre150m0_1_legend.txt Legend    Gelbelsee                            Precipitation; monthly total                                202008-202102
order_94090_GES_rre150m0_1_data.txt     Data      Gersau                               Precipitation; monthly total                                186701-186805
order_94090_GES_rre150m0_1_legend.txt   Legend    Gersau                               Precipitation; monthly total                                186701-186805
order_94090_GES_rre150m0_2_data.txt     Data      Gersau                               Precipitation; monthly total                                186806-186911
order_94090_GES_rre150m0_2_legend.txt   Legend    Gersau                               Precipitation; monthly total                                186806-186911
order_94090_GES_rre150m0_3_data.txt     Data      Gersau                               Precipitation; monthly total                                186912-187106
order_94090_GES_rre150m0_3_legend.txt   Legend    Gersau                               Precipitation; monthly total                                186912-187106
order_94090_GES_rre150m0_4_data.txt     Data      Gersau                               Precipitation; monthly total                                187107-187111
order_94090_GES_rre150m0_4_legend.txt   Legend    Gersau                               Precipitation; monthly total                                187107-187111
order_94090_GES_rre150m0_5_data.txt     Data      Gersau                               Precipitation; monthly total                                187112-187311
order_94090_GES_rre150m0_5_legend.txt   Legend    Gersau                               Precipitation; monthly total                                187112-187311
order_94090_GES_rre150m0_6_data.txt     Data      Gersau                               Precipitation; monthly total                                187312-190012
order_94090_GES_rre150m0_6_legend.txt   Legend    Gersau                               Precipitation; monthly total                                187312-190012
order_94090_GES_rre150m0_7_data.txt     Data      Gersau                               Precipitation; monthly total                                199803-202103
order_94090_GES_rre150m0_7_legend.txt   Legend    Gersau                               Precipitation; monthly total                                199803-202103
order_94090_GGI_rre150m0_1_data.txt     Data      Gingins                              Precipitation; monthly total                                190009-192912
order_94090_GGI_rre150m0_1_legend.txt   Legend    Gingins                              Precipitation; monthly total                                190009-192912
order_94090_GLA_rre150m0_1_data.txt     Data      Glarus                               Precipitation; monthly total                                186312-186705
order_94090_GLA_rre150m0_1_legend.txt   Legend    Glarus                               Precipitation; monthly total                                186312-186705
order_94090_GLA_rre150m0_2_data.txt     Data      Glarus                               Precipitation; monthly total                                187108-187311
