Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94087

Filename                                Filetype  Station                              Parameter                                                   Period
order_94087_GECHE_rre150m0_18_data.txt  Data      Chevrier                             Precipitation; monthly total                                199511-199605
order_94087_GECHE_rre150m0_18_legend.txt Legend    Chevrier                             Precipitation; monthly total                                199511-199605
order_94087_GECHE_rre150m0_19_data.txt  Data      Chevrier                             Precipitation; monthly total                                199609-200312
order_94087_GECHE_rre150m0_19_legend.txt Legend    Chevrier                             Precipitation; monthly total                                199609-200312
order_94087_GECHE_rre150m0_20_data.txt  Data      Chevrier                             Precipitation; monthly total                                200404-200609
order_94087_GECHE_rre150m0_20_legend.txt Legend    Chevrier                             Precipitation; monthly total                                200404-200609
order_94087_GECHE_rre150m0_21_data.txt  Data      Chevrier                             Precipitation; monthly total                                200610-202103
order_94087_GECHE_rre150m0_21_legend.txt Legend    Chevrier                             Precipitation; monthly total                                200610-202103
order_94087_GEGFA_rre150m0_1_data.txt   Data      Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                198907-199607
order_94087_GEGFA_rre150m0_1_legend.txt Legend    Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                198907-199607
order_94087_GEGFA_rre150m0_2_data.txt   Data      Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                199609-199808
order_94087_GEGFA_rre150m0_2_legend.txt Legend    Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                199609-199808
order_94087_GEGFA_rre150m0_3_data.txt   Data      Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                199810-199911
order_94087_GEGFA_rre150m0_3_legend.txt Legend    Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                199810-199911
order_94087_GEGFA_rre150m0_4_data.txt   Data      Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                200002-200010
order_94087_GEGFA_rre150m0_4_legend.txt Legend    Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                200002-200010
order_94087_GEGFA_rre150m0_5_data.txt   Data      Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                200011-200112
order_94087_GEGFA_rre150m0_5_legend.txt Legend    Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                200011-200112
order_94087_GEGFA_rre150m0_6_data.txt   Data      Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                200201-200407
order_94087_GEGFA_rre150m0_6_legend.txt Legend    Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                200201-200407
order_94087_GEGFA_rre150m0_7_data.txt   Data      Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                200408-200409
order_94087_GEGFA_rre150m0_7_legend.txt Legend    Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                200408-200409
order_94087_GEGFA_rre150m0_8_data.txt   Data      Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                200410-200411
order_94087_GEGFA_rre150m0_8_legend.txt Legend    Chêne-Bougeries / Grange-Falquet     Precipitation; monthly total                                200410-200411
