Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94063

Filename                                Filetype  Station                              Parameter                                                   Period
order_94063_RAG_rzz150mx_3_legend.txt   Legend    Bad Ragaz                            Precipitation; maximum ten minute total of the month        201606-202103
order_94063_IYBAR_rzz150mx_1_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum ten minute total of the month        200212-200509
order_94063_IYBAR_rzz150mx_1_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum ten minute total of the month        200212-200509
order_94063_IYBAR_rzz150mx_2_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum ten minute total of the month        200510-200810
order_94063_IYBAR_rzz150mx_2_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum ten minute total of the month        200510-200810
order_94063_IYBAR_rzz150mx_3_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum ten minute total of the month        200902-201103
order_94063_IYBAR_rzz150mx_3_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum ten minute total of the month        200902-201103
order_94063_IYBAR_rzz150mx_4_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum ten minute total of the month        201108-201902
order_94063_IYBAR_rzz150mx_4_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum ten minute total of the month        201108-201902
order_94063_IYBAR_rzz150mx_5_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum ten minute total of the month        201905-201907
order_94063_IYBAR_rzz150mx_5_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum ten minute total of the month        201905-201907
order_94063_IYBAR_rzz150mx_6_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum ten minute total of the month        201909-201912
order_94063_IYBAR_rzz150mx_6_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum ten minute total of the month        201909-201912
order_94063_IYBAR_rzz150mx_7_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum ten minute total of the month        202001-202002
order_94063_IYBAR_rzz150mx_7_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum ten minute total of the month        202001-202002
order_94063_IYBAR_rzz150mx_8_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum ten minute total of the month        202005-202006
order_94063_IYBAR_rzz150mx_8_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum ten minute total of the month        202005-202006
order_94063_IYBAR_rzz150mx_9_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum ten minute total of the month        202009-202011
order_94063_IYBAR_rzz150mx_9_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum ten minute total of the month        202009-202011
order_94063_IYBAR_rzz150mx_10_data.txt  Data      Barbian / Kollmann                   Precipitation; maximum ten minute total of the month        202102-202103
order_94063_IYBAR_rzz150mx_10_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum ten minute total of the month        202102-202103
order_94063_BEP_rzz150mx_1_data.txt     Data      Belp                                 Precipitation; maximum ten minute total of the month        201711-201811
order_94063_BEP_rzz150mx_1_legend.txt   Legend    Belp                                 Precipitation; maximum ten minute total of the month        201711-201811
order_94063_BEP_rzz150mx_2_data.txt     Data      Belp                                 Precipitation; maximum ten minute total of the month        201812-202103
order_94063_BEP_rzz150mx_2_legend.txt   Legend    Belp                                 Precipitation; maximum ten minute total of the month        201812-202103
order_94063_SOBIB_rzz150mx_1_data.txt   Data      Bibern                               Precipitation; maximum ten minute total of the month        199812-201307
order_94063_SOBIB_rzz150mx_1_legend.txt Legend    Bibern                               Precipitation; maximum ten minute total of the month        199812-201307
order_94063_AGBRW_rzz150mx_1_data.txt   Data      Birrwil                              Precipitation; maximum ten minute total of the month        200007-200903
order_94063_AGBRW_rzz150mx_1_legend.txt Legend    Birrwil                              Precipitation; maximum ten minute total of the month        200007-200903
order_94063_AGBRW_rzz150mx_2_data.txt   Data      Birrwil                              Precipitation; maximum ten minute total of the month        201012-201102
order_94063_AGBRW_rzz150mx_2_legend.txt Legend    Birrwil                              Precipitation; maximum ten minute total of the month        201012-201102
order_94063_AGBRW_rzz150mx_3_data.txt   Data      Birrwil                              Precipitation; maximum ten minute total of the month        201303-202103
order_94063_AGBRW_rzz150mx_3_legend.txt Legend    Birrwil                              Precipitation; maximum ten minute total of the month        201303-202103
order_94063_BIZ_rzz150mx_1_data.txt     Data      Bischofszell                         Precipitation; maximum ten minute total of the month        201005-201605
order_94063_BIZ_rzz150mx_1_legend.txt   Legend    Bischofszell                         Precipitation; maximum ten minute total of the month        201005-201605
order_94063_BIZ_rzz150mx_2_data.txt     Data      Bischofszell                         Precipitation; maximum ten minute total of the month        201608-202103
order_94063_BIZ_rzz150mx_2_legend.txt   Legend    Bischofszell                         Precipitation; maximum ten minute total of the month        201608-202103
order_94063_MMBOY_rzz150mx_1_data.txt   Data      Boudry                               Precipitation; maximum ten minute total of the month        201211-201308
order_94063_MMBOY_rzz150mx_1_legend.txt Legend    Boudry                               Precipitation; maximum ten minute total of the month        201211-201308
order_94063_MMBOY_rzz150mx_2_data.txt   Data      Boudry                               Precipitation; maximum ten minute total of the month        201310-201311
order_94063_MMBOY_rzz150mx_2_legend.txt Legend    Boudry                               Precipitation; maximum ten minute total of the month        201310-201311
order_94063_MMBOY_rzz150mx_3_data.txt   Data      Boudry                               Precipitation; maximum ten minute total of the month        201401-201404
order_94063_MMBOY_rzz150mx_3_legend.txt Legend    Boudry                               Precipitation; maximum ten minute total of the month        201401-201404
order_94063_MMBOY_rzz150mx_4_data.txt   Data      Boudry                               Precipitation; maximum ten minute total of the month        201405-201410
order_94063_MMBOY_rzz150mx_4_legend.txt Legend    Boudry                               Precipitation; maximum ten minute total of the month        201405-201410
order_94063_MMBOY_rzz150mx_5_data.txt   Data      Boudry                               Precipitation; maximum ten minute total of the month        201411-201504
order_94063_MMBOY_rzz150mx_5_legend.txt Legend    Boudry                               Precipitation; maximum ten minute total of the month        201411-201504
order_94063_MMBOY_rzz150mx_6_data.txt   Data      Boudry                               Precipitation; maximum ten minute total of the month        201505-201704
order_94063_MMBOY_rzz150mx_6_legend.txt Legend    Boudry                               Precipitation; maximum ten minute total of the month        201505-201704
order_94063_MMBOY_rzz150mx_7_data.txt   Data      Boudry                               Precipitation; maximum ten minute total of the month        201705-201706
order_94063_MMBOY_rzz150mx_7_legend.txt Legend    Boudry                               Precipitation; maximum ten minute total of the month        201705-201706
order_94063_MMBOY_rzz150mx_8_data.txt   Data      Boudry                               Precipitation; maximum ten minute total of the month        201707-201708
order_94063_MMBOY_rzz150mx_8_legend.txt Legend    Boudry                               Precipitation; maximum ten minute total of the month        201707-201708
order_94063_MMBOY_rzz150mx_9_data.txt   Data      Boudry                               Precipitation; maximum ten minute total of the month        201709-201805
order_94063_MMBOY_rzz150mx_9_legend.txt Legend    Boudry                               Precipitation; maximum ten minute total of the month        201709-201805
order_94063_MMBOY_rzz150mx_10_data.txt  Data      Boudry                               Precipitation; maximum ten minute total of the month        201806-201811
order_94063_MMBOY_rzz150mx_10_legend.txt Legend    Boudry                               Precipitation; maximum ten minute total of the month        201806-201811
order_94063_MMBOY_rzz150mx_11_data.txt  Data      Boudry                               Precipitation; maximum ten minute total of the month        201812-202005
order_94063_MMBOY_rzz150mx_11_legend.txt Legend    Boudry                               Precipitation; maximum ten minute total of the month        201812-202005
order_94063_MMBOY_rzz150mx_12_data.txt  Data      Boudry                               Precipitation; maximum ten minute total of the month        202006-202012
order_94063_MMBOY_rzz150mx_12_legend.txt Legend    Boudry                               Precipitation; maximum ten minute total of the month        202006-202012
order_94063_MMBOY_rzz150mx_13_data.txt  Data      Boudry                               Precipitation; maximum ten minute total of the month        202101-202103
order_94063_MMBOY_rzz150mx_13_legend.txt Legend    Boudry                               Precipitation; maximum ten minute total of the month        202101-202103
order_94063_VDCRI_rzz150mx_1_data.txt   Data      Crissier                             Precipitation; maximum ten minute total of the month        201212-202103
order_94063_VDCRI_rzz150mx_1_legend.txt Legend    Crissier                             Precipitation; maximum ten minute total of the month        201212-202103
order_94063_DLDEU_rzz150mx_1_data.txt   Data      Deuselbach                           Precipitation; maximum ten minute total of the month        202008-202103
order_94063_DLDEU_rzz150mx_1_legend.txt Legend    Deuselbach                           Precipitation; maximum ten minute total of the month        202008-202103
order_94063_EVI_rzz150mx_1_data.txt     Data      Evionnaz                             Precipitation; maximum ten minute total of the month        201312-202103
order_94063_EVI_rzz150mx_1_legend.txt   Legend    Evionnaz                             Precipitation; maximum ten minute total of the month        201312-202103
order_94063_DLFEL_rzz150mx_1_data.txt   Data      Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum ten minute total of the month        201605-201608
order_94063_DLFEL_rzz150mx_1_legend.txt Legend    Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum ten minute total of the month        201605-201608
order_94063_DLFEL_rzz150mx_2_data.txt   Data      Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum ten minute total of the month        201609-201812
order_94063_DLFEL_rzz150mx_2_legend.txt Legend    Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum ten minute total of the month        201609-201812
order_94063_DLFEL_rzz150mx_3_data.txt   Data      Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum ten minute total of the month        201901-201904
order_94063_DLFEL_rzz150mx_3_legend.txt Legend    Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum ten minute total of the month        201901-201904
order_94063_DLFEL_rzz150mx_4_data.txt   Data      Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum ten minute total of the month        201905-202103
order_94063_DLFEL_rzz150mx_4_legend.txt Legend    Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum ten minute total of the month        201905-202103
order_94063_DLFEU_rzz150mx_1_data.txt   Data      Feuchtwangen / Heilbronn             Precipitation; maximum ten minute total of the month        202008-202102
order_94063_DLFEU_rzz150mx_1_legend.txt Legend    Feuchtwangen / Heilbronn             Precipitation; maximum ten minute total of the month        202008-202102
order_94063_DLHAH_rzz150mx_1_data.txt   Data      Frankfurt / Hahn Flughafen           Precipitation; maximum ten minute total of the month        202008-202009
order_94063_DLHAH_rzz150mx_1_legend.txt Legend    Frankfurt / Hahn Flughafen           Precipitation; maximum ten minute total of the month        202008-202009
order_94063_DLHAH_rzz150mx_2_data.txt   Data      Frankfurt / Hahn Flughafen           Precipitation; maximum ten minute total of the month        202010-202103
order_94063_DLHAH_rzz150mx_2_legend.txt Legend    Frankfurt / Hahn Flughafen           Precipitation; maximum ten minute total of the month        202010-202103
order_94063_VDFEC_rzz150mx_1_data.txt   Data      Féchy                                Precipitation; maximum ten minute total of the month        201212-202103
order_94063_VDFEC_rzz150mx_1_legend.txt Legend    Féchy                                Precipitation; maximum ten minute total of the month        201212-202103
order_94063_DLFUR_rzz150mx_1_data.txt   Data      Fürstenzell                          Precipitation; maximum ten minute total of the month        202008-202103
order_94063_DLFUR_rzz150mx_1_legend.txt Legend    Fürstenzell                          Precipitation; maximum ten minute total of the month        202008-202103
order_94063_GIH_rzz150mx_1_data.txt     Data      Giswil                               Precipitation; maximum ten minute total of the month        201009-201012
order_94063_GIH_rzz150mx_1_legend.txt   Legend    Giswil                               Precipitation; maximum ten minute total of the month        201009-201012
order_94063_GIH_rzz150mx_2_data.txt     Data      Giswil                               Precipitation; maximum ten minute total of the month        201101-201203
order_94063_GIH_rzz150mx_2_legend.txt   Legend    Giswil                               Precipitation; maximum ten minute total of the month        201101-201203
order_94063_GIH_rzz150mx_3_data.txt     Data      Giswil                               Precipitation; maximum ten minute total of the month        201204-201212
order_94063_GIH_rzz150mx_3_legend.txt   Legend    Giswil                               Precipitation; maximum ten minute total of the month        201204-201212
order_94063_GIH_rzz150mx_4_data.txt     Data      Giswil                               Precipitation; maximum ten minute total of the month        201302-201304
order_94063_GIH_rzz150mx_4_legend.txt   Legend    Giswil                               Precipitation; maximum ten minute total of the month        201302-201304
order_94063_GIH_rzz150mx_5_data.txt     Data      Giswil                               Precipitation; maximum ten minute total of the month        201305-201404
order_94063_GIH_rzz150mx_5_legend.txt   Legend    Giswil                               Precipitation; maximum ten minute total of the month        201305-201404
order_94063_GIH_rzz150mx_6_data.txt     Data      Giswil                               Precipitation; maximum ten minute total of the month        201405-201610
order_94063_GIH_rzz150mx_6_legend.txt   Legend    Giswil                               Precipitation; maximum ten minute total of the month        201405-201610
order_94063_GIH_rzz150mx_7_data.txt     Data      Giswil                               Precipitation; maximum ten minute total of the month        201611-201807
order_94063_GIH_rzz150mx_7_legend.txt   Legend    Giswil                               Precipitation; maximum ten minute total of the month        201611-201807
order_94063_GIH_rzz150mx_8_data.txt     Data      Giswil                               Precipitation; maximum ten minute total of the month        201808-202103
order_94063_GIH_rzz150mx_8_legend.txt   Legend    Giswil                               Precipitation; maximum ten minute total of the month        201808-202103
order_94063_GLA_rzz150mx_1_data.txt     Data      Glarus                               Precipitation; maximum ten minute total of the month        198012-202103
order_94063_GLA_rzz150mx_1_legend.txt   Legend    Glarus                               Precipitation; maximum ten minute total of the month        198012-202103
order_94063_GLGLA_rzz150mx_1_data.txt   Data      Glarus                               Precipitation; maximum ten minute total of the month        201309-201404
order_94063_GLGLA_rzz150mx_1_legend.txt Legend    Glarus                               Precipitation; maximum ten minute total of the month        201309-201404
order_94063_GLGLA_rzz150mx_2_data.txt   Data      Glarus                               Precipitation; maximum ten minute total of the month        201405-201406
order_94063_GLGLA_rzz150mx_2_legend.txt Legend    Glarus                               Precipitation; maximum ten minute total of the month        201405-201406
order_94063_GLGLA_rzz150mx_3_data.txt   Data      Glarus                               Precipitation; maximum ten minute total of the month        201408-201412
order_94063_GLGLA_rzz150mx_3_legend.txt Legend    Glarus                               Precipitation; maximum ten minute total of the month        201408-201412
order_94063_GLGLA_rzz150mx_4_data.txt   Data      Glarus                               Precipitation; maximum ten minute total of the month        201612-201910
order_94063_GLGLA_rzz150mx_4_legend.txt Legend    Glarus                               Precipitation; maximum ten minute total of the month        201612-201910
order_94063_GLGLA_rzz150mx_5_data.txt   Data      Glarus                               Precipitation; maximum ten minute total of the month        201911-202005
order_94063_GLGLA_rzz150mx_5_legend.txt Legend    Glarus                               Precipitation; maximum ten minute total of the month        201911-202005
order_94063_GLGLA_rzz150mx_6_data.txt   Data      Glarus                               Precipitation; maximum ten minute total of the month        202007-202008
