 

stn;time;rhs150d0
SMA;18660507;0.0
SMA;18660508;0.0
SMA;18660509;0.0
SMA;18660510;0.0
SMA;18660511;0.0
SMA;18660512;7.9
SMA;18660513;6.1
SMA;18660514;3.5
SMA;18660515;0.0
SMA;18660516;2.8
SMA;18660517;0.0
SMA;18660518;0.0
SMA;18660519;0.0
SMA;18660520;0.0
SMA;18660521;0.0
SMA;18660522;0.0
SMA;18660523;0.0
SMA;18660524;0.0
SMA;18660525;3.2
SMA;18660526;11.5
SMA;18660527;0.0
SMA;18660528;3.2
SMA;18660529;16.5
SMA;18660530;7.2
SMA;18660531;0.0
SMA;18660601;0.0
SMA;18660602;0.0
SMA;18660603;0.0
SMA;18660604;0.0
SMA;18660605;0.6
SMA;18660606;7.0
SMA;18660607;0.0
SMA;18660608;0.0
SMA;18660609;0.0
SMA;18660610;0.0
SMA;18660611;0.0
SMA;18660612;0.0
SMA;18660613;1.1
SMA;18660614;5.8
SMA;18660615;16.7
SMA;18660616;0.0
SMA;18660617;0.9
SMA;18660618;0.1
SMA;18660619;0.0
SMA;18660620;1.1
SMA;18660621;0.0
SMA;18660622;0.0
SMA;18660623;0.0
SMA;18660624;0.0
SMA;18660625;0.0
SMA;18660626;0.0
SMA;18660627;0.0
SMA;18660628;1.1
SMA;18660629;0.0
SMA;18660630;0.3
SMA;18660701;0.2
SMA;18660702;0.1
SMA;18660703;4.1
SMA;18660704;1.5
SMA;18660705;0.1
SMA;18660706;4.5
SMA;18660707;3.1
SMA;18660708;0.0
SMA;18660709;0.0
SMA;18660710;0.0
SMA;18660711;0.0
SMA;18660712;0.0
SMA;18660713;0.0
SMA;18660714;0.0
SMA;18660715;0.0
SMA;18660716;0.0
SMA;18660717;0.3
SMA;18660718;0.0
SMA;18660719;0.2
SMA;18660720;19.3
SMA;18660721;0.0
SMA;18660722;0.0
SMA;18660723;0.0
SMA;18660724;1.9
SMA;18660725;2.4
SMA;18660726;0.0
SMA;18660727;0.0
SMA;18660728;3.7
SMA;18660729;12.2
SMA;18660730;1.9
SMA;18660731;0.0
SMA;18660801;2.4
SMA;18660802;0.0
SMA;18660803;14.4
SMA;18660804;0.1
SMA;18660805;59.0
SMA;18660806;0.2
SMA;18660807;0.0
SMA;18660808;1.0
SMA;18660809;10.2
SMA;18660810;7.1
SMA;18660811;22.4
SMA;18660812;3.4
SMA;18660813;26.8
SMA;18660814;5.5
SMA;18660815;6.1
SMA;18660816;0.0
SMA;18660817;0.0
SMA;18660818;0.0
SMA;18660819;0.0
SMA;18660820;5.7
SMA;18660821;12.4
SMA;18660822;3.6
SMA;18660823;0.0
SMA;18660824;0.0
SMA;18660825;0.0
SMA;18660826;0.0
SMA;18660827;0.0
SMA;18660828;7.3
SMA;18660829;8.7
SMA;18660830;3.9
SMA;18660831;0.0
SMA;18660901;9.7
SMA;18660902;0.0
SMA;18660903;11.9
SMA;18660904;0.0
SMA;18660905;0.0
SMA;18660906;0.0
SMA;18660907;0.0
SMA;18660908;0.0
SMA;18660909;25.8
SMA;18660910;0.0
SMA;18660911;0.0
SMA;18660912;0.0
SMA;18660913;0.0
SMA;18660914;0.0
SMA;18660915;0.0
SMA;18660916;30.5
SMA;18660917;0.2
SMA;18660918;2.9
SMA;18660919;0.3
SMA;18660920;0.0
SMA;18660921;0.0
SMA;18660922;0.0
SMA;18660923;0.0
SMA;18660924;0.0
SMA;18660925;0.0
SMA;18660926;0.0
SMA;18660927;0.0
SMA;18660928;0.0
SMA;18660929;0.1
SMA;18660930;0.0
SMA;18661001;0.0
SMA;18661002;0.0
SMA;18661003;0.0
SMA;18661004;0.0
SMA;18661005;6.2
SMA;18661006;0.2
SMA;18661007;0.0
SMA;18661008;0.0
SMA;18661009;0.0
SMA;18661010;0.0
SMA;18661011;0.0
SMA;18661012;0.0
SMA;18661013;0.0
SMA;18661014;0.0
SMA;18661015;0.0
SMA;18661016;0.0
SMA;18661017;0.0
SMA;18661018;0.0
