Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94064

Filename                                Filetype  Station                              Parameter                                                   Period
order_94064_TAE_rzz150mx_1_data.txt     Data      Aadorf / Tänikon                     Precipitation; maximum ten minute total of the month        198012-201110
order_94064_MER_rzz150mx_1_legend.txt   Legend    Meiringen                            Precipitation; maximum ten minute total of the month        201110-202103
order_94064_DLMEM_rzz150mx_1_data.txt   Data      Memmingen                            Precipitation; maximum ten minute total of the month        201606-201608
order_94064_DLMEM_rzz150mx_1_legend.txt Legend    Memmingen                            Precipitation; maximum ten minute total of the month        201606-201608
order_94064_DLMEM_rzz150mx_2_data.txt   Data      Memmingen                            Precipitation; maximum ten minute total of the month        201609-201806
order_94064_DLMEM_rzz150mx_2_legend.txt Legend    Memmingen                            Precipitation; maximum ten minute total of the month        201609-201806
order_94064_DLMEM_rzz150mx_3_data.txt   Data      Memmingen                            Precipitation; maximum ten minute total of the month        201808-201812
order_94064_DLMEM_rzz150mx_3_legend.txt Legend    Memmingen                            Precipitation; maximum ten minute total of the month        201808-201812
order_94064_DLMEM_rzz150mx_4_data.txt   Data      Memmingen                            Precipitation; maximum ten minute total of the month        201901-202103
order_94064_DLMEM_rzz150mx_4_legend.txt Legend    Memmingen                            Precipitation; maximum ten minute total of the month        201901-202103
order_94064_MEV_rzz150mx_1_data.txt     Data      Mervelier                            Precipitation; maximum ten minute total of the month        201411-201811
order_94064_MEV_rzz150mx_1_legend.txt   Legend    Mervelier                            Precipitation; maximum ten minute total of the month        201411-201811
order_94064_MEV_rzz150mx_2_data.txt     Data      Mervelier                            Precipitation; maximum ten minute total of the month        201812-202103
order_94064_MEV_rzz150mx_2_legend.txt   Legend    Mervelier                            Precipitation; maximum ten minute total of the month        201812-202103
order_94064_MMO_rzz150mx_1_data.txt     Data      Mormont                              Precipitation; maximum ten minute total of the month        201509-201811
order_94064_MMO_rzz150mx_1_legend.txt   Legend    Mormont                              Precipitation; maximum ten minute total of the month        201509-201811
order_94064_MMO_rzz150mx_2_data.txt     Data      Mormont                              Precipitation; maximum ten minute total of the month        201812-202103
order_94064_MMO_rzz150mx_2_legend.txt   Legend    Mormont                              Precipitation; maximum ten minute total of the month        201812-202103
order_94064_MMMOU_rzz150mx_1_data.txt   Data      Moutier                              Precipitation; maximum ten minute total of the month        201211-201304
order_94064_MMMOU_rzz150mx_1_legend.txt Legend    Moutier                              Precipitation; maximum ten minute total of the month        201211-201304
order_94064_MMMOU_rzz150mx_2_data.txt   Data      Moutier                              Precipitation; maximum ten minute total of the month        201305-201306
order_94064_MMMOU_rzz150mx_2_legend.txt Legend    Moutier                              Precipitation; maximum ten minute total of the month        201305-201306
order_94064_MMMOU_rzz150mx_3_data.txt   Data      Moutier                              Precipitation; maximum ten minute total of the month        201309-201310
order_94064_MMMOU_rzz150mx_3_legend.txt Legend    Moutier                              Precipitation; maximum ten minute total of the month        201309-201310
order_94064_MMMOU_rzz150mx_4_data.txt   Data      Moutier                              Precipitation; maximum ten minute total of the month        201312-201403
order_94064_MMMOU_rzz150mx_4_legend.txt Legend    Moutier                              Precipitation; maximum ten minute total of the month        201312-201403
order_94064_MMMOU_rzz150mx_5_data.txt   Data      Moutier                              Precipitation; maximum ten minute total of the month        201405-201406
order_94064_MMMOU_rzz150mx_5_legend.txt Legend    Moutier                              Precipitation; maximum ten minute total of the month        201405-201406
order_94064_MMMOU_rzz150mx_6_data.txt   Data      Moutier                              Precipitation; maximum ten minute total of the month        201407-201409
order_94064_MMMOU_rzz150mx_6_legend.txt Legend    Moutier                              Precipitation; maximum ten minute total of the month        201407-201409
order_94064_MMMOU_rzz150mx_7_data.txt   Data      Moutier                              Precipitation; maximum ten minute total of the month        201410-201412
order_94064_MMMOU_rzz150mx_7_legend.txt Legend    Moutier                              Precipitation; maximum ten minute total of the month        201410-201412
order_94064_MMMOU_rzz150mx_8_data.txt   Data      Moutier                              Precipitation; maximum ten minute total of the month        201501-201712
order_94064_MMMOU_rzz150mx_8_legend.txt Legend    Moutier                              Precipitation; maximum ten minute total of the month        201501-201712
order_94064_MMMOU_rzz150mx_9_data.txt   Data      Moutier                              Precipitation; maximum ten minute total of the month        201801-201811
order_94064_MMMOU_rzz150mx_9_legend.txt Legend    Moutier                              Precipitation; maximum ten minute total of the month        201801-201811
order_94064_MMMOU_rzz150mx_10_data.txt  Data      Moutier                              Precipitation; maximum ten minute total of the month        201812-202011
order_94064_MMMOU_rzz150mx_10_legend.txt Legend    Moutier                              Precipitation; maximum ten minute total of the month        201812-202011
order_94064_MMMOU_rzz150mx_11_data.txt  Data      Moutier                              Precipitation; maximum ten minute total of the month        202102-202103
order_94064_MMMOU_rzz150mx_11_legend.txt Legend    Moutier                              Precipitation; maximum ten minute total of the month        202102-202103
order_94064_MUR_rzz150mx_1_data.txt     Data      Muri, AG                             Precipitation; maximum ten minute total of the month        201307-201811
order_94064_MUR_rzz150mx_1_legend.txt   Legend    Muri, AG                             Precipitation; maximum ten minute total of the month        201307-201811
order_94064_MUR_rzz150mx_2_data.txt     Data      Muri, AG                             Precipitation; maximum ten minute total of the month        201812-202103
order_94064_MUR_rzz150mx_2_legend.txt   Legend    Muri, AG                             Precipitation; maximum ten minute total of the month        201812-202103
order_94064_MMMUM_rzz150mx_1_data.txt   Data      Mümliswil                            Precipitation; maximum ten minute total of the month        201608-201803
order_94064_MMMUM_rzz150mx_1_legend.txt Legend    Mümliswil                            Precipitation; maximum ten minute total of the month        201608-201803
order_94064_MMMUM_rzz150mx_2_data.txt   Data      Mümliswil                            Precipitation; maximum ten minute total of the month        201804-201806
order_94064_MMMUM_rzz150mx_2_legend.txt Legend    Mümliswil                            Precipitation; maximum ten minute total of the month        201804-201806
order_94064_MMMUM_rzz150mx_3_data.txt   Data      Mümliswil                            Precipitation; maximum ten minute total of the month        201807-201808
order_94064_MMMUM_rzz150mx_3_legend.txt Legend    Mümliswil                            Precipitation; maximum ten minute total of the month        201807-201808
order_94064_MMMUM_rzz150mx_4_data.txt   Data      Mümliswil                            Precipitation; maximum ten minute total of the month        201809-201811
order_94064_MMMUM_rzz150mx_4_legend.txt Legend    Mümliswil                            Precipitation; maximum ten minute total of the month        201809-201811
order_94064_MMMUM_rzz150mx_5_data.txt   Data      Mümliswil                            Precipitation; maximum ten minute total of the month        201812-201908
order_94064_MMMUM_rzz150mx_5_legend.txt Legend    Mümliswil                            Precipitation; maximum ten minute total of the month        201812-201908
order_94064_MMMUM_rzz150mx_6_data.txt   Data      Mümliswil                            Precipitation; maximum ten minute total of the month        201909-202004
order_94064_MMMUM_rzz150mx_6_legend.txt Legend    Mümliswil                            Precipitation; maximum ten minute total of the month        201909-202004
order_94064_MMMUM_rzz150mx_7_data.txt   Data      Mümliswil                            Precipitation; maximum ten minute total of the month        202005-202007
order_94064_MMMUM_rzz150mx_7_legend.txt Legend    Mümliswil                            Precipitation; maximum ten minute total of the month        202005-202007
order_94064_MMMUM_rzz150mx_8_data.txt   Data      Mümliswil                            Precipitation; maximum ten minute total of the month        202008-202103
order_94064_MMMUM_rzz150mx_8_legend.txt Legend    Mümliswil                            Precipitation; maximum ten minute total of the month        202008-202103
order_94064_IYNAT_rzz150mx_1_data.txt   Data      Naturns                              Precipitation; maximum ten minute total of the month        200212-200304
order_94064_IYNAT_rzz150mx_1_legend.txt Legend    Naturns                              Precipitation; maximum ten minute total of the month        200212-200304
order_94064_IYNAT_rzz150mx_2_data.txt   Data      Naturns                              Precipitation; maximum ten minute total of the month        200305-200806
order_94064_IYNAT_rzz150mx_2_legend.txt Legend    Naturns                              Precipitation; maximum ten minute total of the month        200305-200806
order_94064_IYNAT_rzz150mx_3_data.txt   Data      Naturns                              Precipitation; maximum ten minute total of the month        200910-201902
order_94064_IYNAT_rzz150mx_3_legend.txt Legend    Naturns                              Precipitation; maximum ten minute total of the month        200910-201902
order_94064_IYNAT_rzz150mx_4_data.txt   Data      Naturns                              Precipitation; maximum ten minute total of the month        201909-201910
order_94064_IYNAT_rzz150mx_4_legend.txt Legend    Naturns                              Precipitation; maximum ten minute total of the month        201909-201910
order_94064_IYNAT_rzz150mx_5_data.txt   Data      Naturns                              Precipitation; maximum ten minute total of the month        201911-201912
order_94064_IYNAT_rzz150mx_5_legend.txt Legend    Naturns                              Precipitation; maximum ten minute total of the month        201911-201912
order_94064_IYNAT_rzz150mx_6_data.txt   Data      Naturns                              Precipitation; maximum ten minute total of the month        202001-202002
order_94064_IYNAT_rzz150mx_6_legend.txt Legend    Naturns                              Precipitation; maximum ten minute total of the month        202001-202002
order_94064_IYNAT_rzz150mx_7_data.txt   Data      Naturns                              Precipitation; maximum ten minute total of the month        202005-202006
order_94064_IYNAT_rzz150mx_7_legend.txt Legend    Naturns                              Precipitation; maximum ten minute total of the month        202005-202006
order_94064_IYNAT_rzz150mx_8_data.txt   Data      Naturns                              Precipitation; maximum ten minute total of the month        202009-202012
order_94064_IYNAT_rzz150mx_8_legend.txt Legend    Naturns                              Precipitation; maximum ten minute total of the month        202009-202012
order_94064_IYNAT_rzz150mx_9_data.txt   Data      Naturns                              Precipitation; maximum ten minute total of the month        202102-202103
order_94064_IYNAT_rzz150mx_9_legend.txt Legend    Naturns                              Precipitation; maximum ten minute total of the month        202102-202103
order_94064_ZHNEU_rzz150mx_1_data.txt   Data      Neubrunn                             Precipitation; maximum ten minute total of the month        200811-200904
order_94064_ZHNEU_rzz150mx_1_legend.txt Legend    Neubrunn                             Precipitation; maximum ten minute total of the month        200811-200904
order_94064_ZHNEU_rzz150mx_2_data.txt   Data      Neubrunn                             Precipitation; maximum ten minute total of the month        200905-201106
order_94064_ZHNEU_rzz150mx_2_legend.txt Legend    Neubrunn                             Precipitation; maximum ten minute total of the month        200905-201106
order_94064_ZHNEU_rzz150mx_3_data.txt   Data      Neubrunn                             Precipitation; maximum ten minute total of the month        201107-201202
order_94064_ZHNEU_rzz150mx_3_legend.txt Legend    Neubrunn                             Precipitation; maximum ten minute total of the month        201107-201202
order_94064_ZHNEU_rzz150mx_4_data.txt   Data      Neubrunn                             Precipitation; maximum ten minute total of the month        201204-201307
order_94064_ZHNEU_rzz150mx_4_legend.txt Legend    Neubrunn                             Precipitation; maximum ten minute total of the month        201204-201307
order_94064_ZHNEU_rzz150mx_5_data.txt   Data      Neubrunn                             Precipitation; maximum ten minute total of the month        201308-201506
order_94064_ZHNEU_rzz150mx_5_legend.txt Legend    Neubrunn                             Precipitation; maximum ten minute total of the month        201308-201506
order_94064_DLNBL_rzz150mx_1_data.txt   Data      Neubulach                            Precipitation; maximum ten minute total of the month        201605-201606
order_94064_DLNBL_rzz150mx_1_legend.txt Legend    Neubulach                            Precipitation; maximum ten minute total of the month        201605-201606
order_94064_DLNBL_rzz150mx_2_data.txt   Data      Neubulach                            Precipitation; maximum ten minute total of the month        201607-201608
order_94064_DLNBL_rzz150mx_2_legend.txt Legend    Neubulach                            Precipitation; maximum ten minute total of the month        201607-201608
order_94064_DLNBL_rzz150mx_3_data.txt   Data      Neubulach                            Precipitation; maximum ten minute total of the month        201609-201611
order_94064_DLNBL_rzz150mx_3_legend.txt Legend    Neubulach                            Precipitation; maximum ten minute total of the month        201609-201611
order_94064_DLNBL_rzz150mx_4_data.txt   Data      Neubulach                            Precipitation; maximum ten minute total of the month        201612-201804
order_94064_DLNBL_rzz150mx_4_legend.txt Legend    Neubulach                            Precipitation; maximum ten minute total of the month        201612-201804
order_94064_DLNBL_rzz150mx_5_data.txt   Data      Neubulach                            Precipitation; maximum ten minute total of the month        201805-201812
order_94064_DLNBL_rzz150mx_5_legend.txt Legend    Neubulach                            Precipitation; maximum ten minute total of the month        201805-201812
order_94064_DLNBL_rzz150mx_6_data.txt   Data      Neubulach                            Precipitation; maximum ten minute total of the month        201901-202103
order_94064_DLNBL_rzz150mx_6_legend.txt Legend    Neubulach                            Precipitation; maximum ten minute total of the month        201901-202103
order_94064_WSLNEB_rzz150mx_1_data.txt  Data      Neunkirch Bestand                    Precipitation; maximum ten minute total of the month        201712-201805
order_94064_WSLNEB_rzz150mx_1_legend.txt Legend    Neunkirch Bestand                    Precipitation; maximum ten minute total of the month        201712-201805
order_94064_WSLNEB_rzz150mx_2_data.txt  Data      Neunkirch Bestand                    Precipitation; maximum ten minute total of the month        201806-201904
order_94064_WSLNEB_rzz150mx_2_legend.txt Legend    Neunkirch Bestand                    Precipitation; maximum ten minute total of the month        201806-201904
order_94064_WSLNEB_rzz150mx_3_data.txt  Data      Neunkirch Bestand                    Precipitation; maximum ten minute total of the month        201905-201906
order_94064_WSLNEB_rzz150mx_3_legend.txt Legend    Neunkirch Bestand                    Precipitation; maximum ten minute total of the month        201905-201906
order_94064_WSLNEB_rzz150mx_4_data.txt  Data      Neunkirch Bestand                    Precipitation; maximum ten minute total of the month        201908-201910
order_94064_WSLNEB_rzz150mx_4_legend.txt Legend    Neunkirch Bestand                    Precipitation; maximum ten minute total of the month        201908-201910
order_94064_WSLNEB_rzz150mx_5_data.txt  Data      Neunkirch Bestand                    Precipitation; maximum ten minute total of the month        202002-202004
order_94064_WSLNEB_rzz150mx_5_legend.txt Legend    Neunkirch Bestand                    Precipitation; maximum ten minute total of the month        202002-202004
order_94064_WSLNEB_rzz150mx_6_data.txt  Data      Neunkirch Bestand                    Precipitation; maximum ten minute total of the month        202005-202006
order_94064_WSLNEB_rzz150mx_6_legend.txt Legend    Neunkirch Bestand                    Precipitation; maximum ten minute total of the month        202005-202006
order_94064_WSLNEB_rzz150mx_7_data.txt  Data      Neunkirch Bestand                    Precipitation; maximum ten minute total of the month        202007-202011
order_94064_WSLNEB_rzz150mx_7_legend.txt Legend    Neunkirch Bestand                    Precipitation; maximum ten minute total of the month        202007-202011
order_94064_WSLNEB_rzz150mx_8_data.txt  Data      Neunkirch Bestand                    Precipitation; maximum ten minute total of the month        202012-202103
order_94064_WSLNEB_rzz150mx_8_legend.txt Legend    Neunkirch Bestand                    Precipitation; maximum ten minute total of the month        202012-202103
order_94064_DLWEB_rzz150mx_1_data.txt   Data      Neustadt / Weinbiet                  Precipitation; maximum ten minute total of the month        202008-202102
order_94064_DLWEB_rzz150mx_1_legend.txt Legend    Neustadt / Weinbiet                  Precipitation; maximum ten minute total of the month        202008-202102
order_94064_ZHNUR_rzz150mx_1_data.txt   Data      Nürensdorf                           Precipitation; maximum ten minute total of the month        200610-201512
order_94064_ZHNUR_rzz150mx_1_legend.txt Legend    Nürensdorf                           Precipitation; maximum ten minute total of the month        200610-201512
order_94064_ZHNUR_rzz150mx_2_data.txt   Data      Nürensdorf                           Precipitation; maximum ten minute total of the month        201601-202103
order_94064_ZHNUR_rzz150mx_2_legend.txt Legend    Nürensdorf                           Precipitation; maximum ten minute total of the month        201601-202103
order_94064_DLOBH_rzz150mx_1_data.txt   Data      Oberhaching                          Precipitation; maximum ten minute total of the month        201605-201608
order_94064_DLOBH_rzz150mx_1_legend.txt Legend    Oberhaching                          Precipitation; maximum ten minute total of the month        201605-201608
order_94064_DLOBH_rzz150mx_2_data.txt   Data      Oberhaching                          Precipitation; maximum ten minute total of the month        201609-201704
order_94064_DLOBH_rzz150mx_2_legend.txt Legend    Oberhaching                          Precipitation; maximum ten minute total of the month        201609-201704
order_94064_DLOBH_rzz150mx_3_data.txt   Data      Oberhaching                          Precipitation; maximum ten minute total of the month        201705-201811
order_94064_DLOBH_rzz150mx_3_legend.txt Legend    Oberhaching                          Precipitation; maximum ten minute total of the month        201705-201811
order_94064_DLOBH_rzz150mx_4_data.txt   Data      Oberhaching                          Precipitation; maximum ten minute total of the month        201901-201906
order_94064_DLOBH_rzz150mx_4_legend.txt Legend    Oberhaching                          Precipitation; maximum ten minute total of the month        201901-201906
order_94064_DLOBH_rzz150mx_5_data.txt   Data      Oberhaching                          Precipitation; maximum ten minute total of the month        201907-202011
order_94064_DLOBH_rzz150mx_5_legend.txt Legend    Oberhaching                          Precipitation; maximum ten minute total of the month        201907-202011
order_94064_DLOBH_rzz150mx_6_data.txt   Data      Oberhaching                          Precipitation; maximum ten minute total of the month        202012-202103
order_94064_DLOBH_rzz150mx_6_legend.txt Legend    Oberhaching                          Precipitation; maximum ten minute total of the month        202012-202103
order_94064_VDREV_rzz150mx_1_data.txt   Data      Reverolle                            Precipitation; maximum ten minute total of the month        201308-202103
order_94064_VDREV_rzz150mx_1_legend.txt Legend    Reverolle                            Precipitation; maximum ten minute total of the month        201308-202103
order_94064_TGRIC_rzz150mx_1_data.txt   Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201010-201011
order_94064_TGRIC_rzz150mx_1_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201010-201011
order_94064_TGRIC_rzz150mx_2_data.txt   Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201102-201104
order_94064_TGRIC_rzz150mx_2_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201102-201104
order_94064_TGRIC_rzz150mx_3_data.txt   Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201108-201111
order_94064_TGRIC_rzz150mx_3_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201108-201111
order_94064_TGRIC_rzz150mx_4_data.txt   Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201202-201203
order_94064_TGRIC_rzz150mx_4_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201202-201203
order_94064_TGRIC_rzz150mx_5_data.txt   Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201204-201209
order_94064_TGRIC_rzz150mx_5_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201204-201209
order_94064_TGRIC_rzz150mx_6_data.txt   Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201210-201211
order_94064_TGRIC_rzz150mx_6_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201210-201211
order_94064_TGRIC_rzz150mx_7_data.txt   Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201304-201306
order_94064_TGRIC_rzz150mx_7_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201304-201306
order_94064_TGRIC_rzz150mx_8_data.txt   Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201307-201308
order_94064_TGRIC_rzz150mx_8_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201307-201308
order_94064_TGRIC_rzz150mx_9_data.txt   Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201309-201310
order_94064_TGRIC_rzz150mx_9_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201309-201310
order_94064_TGRIC_rzz150mx_10_data.txt  Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201402-201403
order_94064_TGRIC_rzz150mx_10_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201402-201403
order_94064_TGRIC_rzz150mx_11_data.txt  Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201405-201407
order_94064_TGRIC_rzz150mx_11_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201405-201407
order_94064_TGRIC_rzz150mx_12_data.txt  Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201408-201410
order_94064_TGRIC_rzz150mx_12_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201408-201410
order_94064_TGRIC_rzz150mx_13_data.txt  Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201502-201504
order_94064_TGRIC_rzz150mx_13_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201502-201504
order_94064_TGRIC_rzz150mx_14_data.txt  Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201508-201509
order_94064_TGRIC_rzz150mx_14_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201508-201509
order_94064_TGRIC_rzz150mx_15_data.txt  Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201511-201512
order_94064_TGRIC_rzz150mx_15_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201511-201512
order_94064_TGRIC_rzz150mx_16_data.txt  Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201605-201607
order_94064_TGRIC_rzz150mx_16_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201605-201607
order_94064_TGRIC_rzz150mx_17_data.txt  Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201608-201610
order_94064_TGRIC_rzz150mx_17_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201608-201610
order_94064_TGRIC_rzz150mx_18_data.txt  Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201702-201703
order_94064_TGRIC_rzz150mx_18_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201702-201703
order_94064_TGRIC_rzz150mx_19_data.txt  Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201705-201706
order_94064_TGRIC_rzz150mx_19_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201705-201706
order_94064_TGRIC_rzz150mx_20_data.txt  Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201708-201710
order_94064_TGRIC_rzz150mx_20_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201708-201710
order_94064_TGRIC_rzz150mx_21_data.txt  Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201803-201804
order_94064_TGRIC_rzz150mx_21_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201803-201804
order_94064_TGRIC_rzz150mx_22_data.txt  Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201805-201806
order_94064_TGRIC_rzz150mx_22_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201805-201806
order_94064_TGRIC_rzz150mx_23_data.txt  Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201807-201808
order_94064_TGRIC_rzz150mx_23_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201807-201808
order_94064_TGRIC_rzz150mx_24_data.txt  Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201902-201903
order_94064_TGRIC_rzz150mx_24_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201902-201903
order_94064_TGRIC_rzz150mx_25_data.txt  Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201905-201906
order_94064_TGRIC_rzz150mx_25_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201905-201906
order_94064_TGRIC_rzz150mx_26_data.txt  Data      Rickenbach                           Precipitation; maximum ten minute total of the month        201909-201910
order_94064_TGRIC_rzz150mx_26_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        201909-201910
order_94064_TGRIC_rzz150mx_27_data.txt  Data      Rickenbach                           Precipitation; maximum ten minute total of the month        202001-202004
order_94064_TGRIC_rzz150mx_27_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        202001-202004
order_94064_TGRIC_rzz150mx_28_data.txt  Data      Rickenbach                           Precipitation; maximum ten minute total of the month        202005-202011
order_94064_TGRIC_rzz150mx_28_legend.txt Legend    Rickenbach                           Precipitation; maximum ten minute total of the month        202005-202011
order_94064_DLROT_rzz150mx_1_data.txt   Data      Rottweil                             Precipitation; maximum ten minute total of the month        201605-201608
order_94064_DLROT_rzz150mx_1_legend.txt Legend    Rottweil                             Precipitation; maximum ten minute total of the month        201605-201608
order_94064_DLROT_rzz150mx_2_data.txt   Data      Rottweil                             Precipitation; maximum ten minute total of the month        201609-201904
order_94064_DLROT_rzz150mx_2_legend.txt Legend    Rottweil                             Precipitation; maximum ten minute total of the month        201609-201904
order_94064_DLROT_rzz150mx_3_data.txt   Data      Rottweil                             Precipitation; maximum ten minute total of the month        201905-202103
order_94064_DLROT_rzz150mx_3_legend.txt Legend    Rottweil                             Precipitation; maximum ten minute total of the month        201905-202103
order_94064_RUE_rzz150mx_1_data.txt     Data      Rünenberg                            Precipitation; maximum ten minute total of the month        198210-198211
order_94064_RUE_rzz150mx_1_legend.txt   Legend    Rünenberg                            Precipitation; maximum ten minute total of the month        198210-198211
order_94064_RUE_rzz150mx_2_data.txt     Data      Rünenberg                            Precipitation; maximum ten minute total of the month        198301-200605
order_94064_RUE_rzz150mx_2_legend.txt   Legend    Rünenberg                            Precipitation; maximum ten minute total of the month        198301-200605
order_94064_RUE_rzz150mx_3_data.txt     Data      Rünenberg                            Precipitation; maximum ten minute total of the month        200606-201706
order_94064_RUE_rzz150mx_3_legend.txt   Legend    Rünenberg                            Precipitation; maximum ten minute total of the month        200606-201706
order_94064_RUE_rzz150mx_4_data.txt     Data      Rünenberg                            Precipitation; maximum ten minute total of the month        201707-202103
order_94064_RUE_rzz150mx_4_legend.txt   Legend    Rünenberg                            Precipitation; maximum ten minute total of the month        201707-202103
order_94064_GLSWA_rzz150mx_1_data.txt   Data      Schwanden                            Precipitation; maximum ten minute total of the month        201309-201312
order_94064_GLSWA_rzz150mx_1_legend.txt Legend    Schwanden                            Precipitation; maximum ten minute total of the month        201309-201312
order_94064_GLSWA_rzz150mx_2_data.txt   Data      Schwanden                            Precipitation; maximum ten minute total of the month        201401-201404
order_94064_GLSWA_rzz150mx_2_legend.txt Legend    Schwanden                            Precipitation; maximum ten minute total of the month        201401-201404
order_94064_GLSWA_rzz150mx_3_data.txt   Data      Schwanden                            Precipitation; maximum ten minute total of the month        201405-201406
order_94064_GLSWA_rzz150mx_3_legend.txt Legend    Schwanden                            Precipitation; maximum ten minute total of the month        201405-201406
order_94064_GLSWA_rzz150mx_4_data.txt   Data      Schwanden                            Precipitation; maximum ten minute total of the month        201409-201508
order_94064_GLSWA_rzz150mx_4_legend.txt Legend    Schwanden                            Precipitation; maximum ten minute total of the month        201409-201508
order_94064_GLSWA_rzz150mx_5_data.txt   Data      Schwanden                            Precipitation; maximum ten minute total of the month        201511-201603
order_94064_GLSWA_rzz150mx_5_legend.txt Legend    Schwanden                            Precipitation; maximum ten minute total of the month        201511-201603
order_94064_GLSWA_rzz150mx_6_data.txt   Data      Schwanden                            Precipitation; maximum ten minute total of the month        201604-201606
order_94064_GLSWA_rzz150mx_6_legend.txt Legend    Schwanden                            Precipitation; maximum ten minute total of the month        201604-201606
order_94064_GLSWA_rzz150mx_7_data.txt   Data      Schwanden                            Precipitation; maximum ten minute total of the month        201607-201610
order_94064_GLSWA_rzz150mx_7_legend.txt Legend    Schwanden                            Precipitation; maximum ten minute total of the month        201607-201610
order_94064_GLSWA_rzz150mx_8_data.txt   Data      Schwanden                            Precipitation; maximum ten minute total of the month        201611-201803
order_94064_GLSWA_rzz150mx_8_legend.txt Legend    Schwanden                            Precipitation; maximum ten minute total of the month        201611-201803
order_94064_GLSWA_rzz150mx_9_data.txt   Data      Schwanden                            Precipitation; maximum ten minute total of the month        201804-201903
order_94064_GLSWA_rzz150mx_9_legend.txt Legend    Schwanden                            Precipitation; maximum ten minute total of the month        201804-201903
order_94064_GLSWA_rzz150mx_10_data.txt  Data      Schwanden                            Precipitation; maximum ten minute total of the month        201904-201909
order_94064_GLSWA_rzz150mx_10_legend.txt Legend    Schwanden                            Precipitation; maximum ten minute total of the month        201904-201909
order_94064_GLSWA_rzz150mx_11_data.txt  Data      Schwanden                            Precipitation; maximum ten minute total of the month        201911-202004
order_94064_GLSWA_rzz150mx_11_legend.txt Legend    Schwanden                            Precipitation; maximum ten minute total of the month        201911-202004
order_94064_GLSWA_rzz150mx_12_data.txt  Data      Schwanden                            Precipitation; maximum ten minute total of the month        202005-202006
order_94064_GLSWA_rzz150mx_12_legend.txt Legend    Schwanden                            Precipitation; maximum ten minute total of the month        202005-202006
order_94064_GLSWA_rzz150mx_13_data.txt  Data      Schwanden                            Precipitation; maximum ten minute total of the month        202007-202008
