Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95465

Filename                                Filetype  Station                              Parameter                                                   Period
order_95465_IYBOZ_rre002mx_1_data.txt   Data      Bozen                                Precipitation; maximum 2-day total of the month             200012-202004
order_95465_IYBOZ_rre002mx_1_legend.txt Legend    Bozen                                Precipitation; maximum 2-day total of the month             200012-202004
order_95465_IYBOZ_rre002mx_2_data.txt   Data      Bozen                                Precipitation; maximum 2-day total of the month             202005-202006
order_95465_IYBOZ_rre002mx_2_legend.txt Legend    Bozen                                Precipitation; maximum 2-day total of the month             202005-202006
order_95465_IYBOZ_rre002mx_3_data.txt   Data      Bozen                                Precipitation; maximum 2-day total of the month             202007-202105
order_95465_IYBOZ_rre002mx_3_legend.txt Legend    Bozen                                Precipitation; maximum 2-day total of the month             202007-202105
order_95465_IYBRZ_rre002mx_1_data.txt   Data      Branzoll                             Precipitation; maximum 2-day total of the month             200012-202004
order_95465_IYBRZ_rre002mx_1_legend.txt Legend    Branzoll                             Precipitation; maximum 2-day total of the month             200012-202004
order_95465_IYBRZ_rre002mx_2_data.txt   Data      Branzoll                             Precipitation; maximum 2-day total of the month             202005-202006
order_95465_IYBRZ_rre002mx_2_legend.txt Legend    Branzoll                             Precipitation; maximum 2-day total of the month             202005-202006
order_95465_IYBRZ_rre002mx_3_data.txt   Data      Branzoll                             Precipitation; maximum 2-day total of the month             202007-202105
order_95465_IYBRZ_rre002mx_3_legend.txt Legend    Branzoll                             Precipitation; maximum 2-day total of the month             202007-202105
order_95465_BSG_rre002mx_1_data.txt     Data      Brissago                             Precipitation; maximum 2-day total of the month             190012-191405
order_95465_BSG_rre002mx_1_legend.txt   Legend    Brissago                             Precipitation; maximum 2-day total of the month             190012-191405
order_95465_BSG_rre002mx_2_data.txt     Data      Brissago                             Precipitation; maximum 2-day total of the month             191406-193604
order_95465_BSG_rre002mx_2_legend.txt   Legend    Brissago                             Precipitation; maximum 2-day total of the month             191406-193604
order_95465_BSG_rre002mx_3_data.txt     Data      Brissago                             Precipitation; maximum 2-day total of the month             193605-202105
order_95465_BSG_rre002mx_3_legend.txt   Legend    Brissago                             Precipitation; maximum 2-day total of the month             193605-202105
order_95465_BRH_rre002mx_1_data.txt     Data      Bruderholz                           Precipitation; maximum 2-day total of the month             190712-199404
order_95465_BRH_rre002mx_1_legend.txt   Legend    Bruderholz                           Precipitation; maximum 2-day total of the month             190712-199404
order_95465_BGG_rre002mx_1_data.txt     Data      Brugg                                Precipitation; maximum 2-day total of the month             196012-198306
order_95465_BGG_rre002mx_1_legend.txt   Legend    Brugg                                Precipitation; maximum 2-day total of the month             196012-198306
order_95465_BWI_rre002mx_1_data.txt     Data      Brugg-Wildegg                        Precipitation; maximum 2-day total of the month             198306-199905
order_95465_BWI_rre002mx_1_legend.txt   Legend    Brugg-Wildegg                        Precipitation; maximum 2-day total of the month             198306-199905
order_95465_BUS_rre002mx_1_data.txt     Data      Buchs / Aarau                        Precipitation; maximum 2-day total of the month             198405-202105
order_95465_BUS_rre002mx_1_legend.txt   Legend    Buchs / Aarau                        Precipitation; maximum 2-day total of the month             198405-202105
order_95465_BMH_rre002mx_1_data.txt     Data      Bâle-Mulhouse (ehemalige Station)    Precipitation; maximum 2-day total of the month             195012-198012
order_95465_BMH_rre002mx_1_legend.txt   Legend    Bâle-Mulhouse (ehemalige Station)    Precipitation; maximum 2-day total of the month             195012-198012
order_95465_KABAT_rre002mx_1_data.txt   Data      Bättwil                              Precipitation; maximum 2-day total of the month             201811-201904
order_95465_KABAT_rre002mx_1_legend.txt Legend    Bättwil                              Precipitation; maximum 2-day total of the month             201811-201904
order_95465_KABAT_rre002mx_2_data.txt   Data      Bättwil                              Precipitation; maximum 2-day total of the month             201911-202012
order_95465_KABAT_rre002mx_2_legend.txt Legend    Bättwil                              Precipitation; maximum 2-day total of the month             201911-202012
order_95465_KABAT_rre002mx_3_data.txt   Data      Bättwil                              Precipitation; maximum 2-day total of the month             202103-202105
order_95465_KABAT_rre002mx_3_legend.txt Legend    Bättwil                              Precipitation; maximum 2-day total of the month             202103-202105
order_95465_BOC_rre002mx_1_data.txt     Data      Böckten                              Precipitation; maximum 2-day total of the month             189912-198812
order_95465_BOC_rre002mx_1_legend.txt   Legend    Böckten                              Precipitation; maximum 2-day total of the month             189912-198812
order_95465_TICAN_rre002mx_1_data.txt   Data      Canobbio                             Precipitation; maximum 2-day total of the month             200712-200908
order_95465_TICAN_rre002mx_1_legend.txt Legend    Canobbio                             Precipitation; maximum 2-day total of the month             200712-200908
order_95465_TICAN_rre002mx_2_data.txt   Data      Canobbio                             Precipitation; maximum 2-day total of the month             200909-201612
order_95465_TICAN_rre002mx_2_legend.txt Legend    Canobbio                             Precipitation; maximum 2-day total of the month             200909-201612
order_95465_TICAN_rre002mx_3_data.txt   Data      Canobbio                             Precipitation; maximum 2-day total of the month             201701-202104
order_95465_TICAN_rre002mx_3_legend.txt Legend    Canobbio                             Precipitation; maximum 2-day total of the month             201701-202104
order_95465_CSL_rre002mx_1_data.txt     Data      Chessel                              Precipitation; maximum 2-day total of the month             196012-198412
order_95465_CSL_rre002mx_1_legend.txt   Legend    Chessel                              Precipitation; maximum 2-day total of the month             196012-198412
order_95465_TICIA_rre002mx_1_data.txt   Data      Chiasso                              Precipitation; maximum 2-day total of the month             198707-200708
order_95465_TICIA_rre002mx_1_legend.txt Legend    Chiasso                              Precipitation; maximum 2-day total of the month             198707-200708
order_95465_TICIA_rre002mx_2_data.txt   Data      Chiasso                              Precipitation; maximum 2-day total of the month             200709-201208
order_95465_TICIA_rre002mx_2_legend.txt Legend    Chiasso                              Precipitation; maximum 2-day total of the month             200709-201208
order_95465_TICIA_rre002mx_3_data.txt   Data      Chiasso                              Precipitation; maximum 2-day total of the month             201209-201612
order_95465_TICIA_rre002mx_3_legend.txt Legend    Chiasso                              Precipitation; maximum 2-day total of the month             201209-201612
order_95465_TICIA_rre002mx_4_data.txt   Data      Chiasso                              Precipitation; maximum 2-day total of the month             201701-202105
order_95465_TICIA_rre002mx_4_legend.txt Legend    Chiasso                              Precipitation; maximum 2-day total of the month             201701-202105
order_95465_COL_rre002mx_1_data.txt     Data      Coldrerio                            Precipitation; maximum 2-day total of the month             191712-191901
order_95465_COL_rre002mx_1_legend.txt   Legend    Coldrerio                            Precipitation; maximum 2-day total of the month             191712-191901
order_95465_COL_rre002mx_2_data.txt     Data      Coldrerio                            Precipitation; maximum 2-day total of the month             191903-192309
order_95465_COL_rre002mx_2_legend.txt   Legend    Coldrerio                            Precipitation; maximum 2-day total of the month             191903-192309
order_95465_COL_rre002mx_3_data.txt     Data      Coldrerio                            Precipitation; maximum 2-day total of the month             192310-192603
order_95465_COL_rre002mx_3_legend.txt   Legend    Coldrerio                            Precipitation; maximum 2-day total of the month             192310-192603
order_95465_COL_rre002mx_4_data.txt     Data      Coldrerio                            Precipitation; maximum 2-day total of the month             192604-202105
order_95465_COL_rre002mx_4_legend.txt   Legend    Coldrerio                            Precipitation; maximum 2-day total of the month             192604-202105
order_95465_VDCUL_rre002mx_1_data.txt   Data      Cully                                Precipitation; maximum 2-day total of the month             201212-201512
order_95465_VDCUL_rre002mx_1_legend.txt Legend    Cully                                Precipitation; maximum 2-day total of the month             201212-201512
order_95465_VDCUL_rre002mx_2_data.txt   Data      Cully                                Precipitation; maximum 2-day total of the month             201601-202105
order_95465_VDCUL_rre002mx_2_legend.txt Legend    Cully                                Precipitation; maximum 2-day total of the month             201601-202105
order_95465_DIT_rre002mx_1_data.txt     Data      Dietikon                             Precipitation; maximum 2-day total of the month             190012-202105
order_95465_DIT_rre002mx_1_legend.txt   Legend    Dietikon                             Precipitation; maximum 2-day total of the month             190012-202105
order_95465_DLDRE_rre002mx_1_data.txt   Data      Dresden / Klotzsche                  Precipitation; maximum 2-day total of the month             193601-194502
order_95465_DLDRE_rre002mx_1_legend.txt Legend    Dresden / Klotzsche                  Precipitation; maximum 2-day total of the month             193601-194502
order_95465_DLDRE_rre002mx_2_data.txt   Data      Dresden / Klotzsche                  Precipitation; maximum 2-day total of the month             196010-201406
