 

stn;time;breclod0
MBA;20080822;0
MBA;20080823;0
MBA;20080824;0
MBA;20080825;0
MBA;20080826;0
MBA;20080827;0
MBA;20080828;0
MBA;20080829;0
MBA;20080830;0
MBA;20080831;0
MBA;20080901;0
MBA;20080902;0
MBA;20080903;0
MBA;20080904;0
MBA;20080905;0
MBA;20080906;0
MBA;20080907;0
MBA;20080908;0
MBA;20080909;0
MBA;20080910;0
MBA;20080911;1
MBA;20080912;0
MBA;20080913;0
MBA;20080914;0
MBA;20080915;0
MBA;20080916;0
MBA;20080917;0
MBA;20080918;0
MBA;20080919;0
MBA;20080920;0
MBA;20080921;0
MBA;20080922;0
MBA;20080923;0
MBA;20080924;0
MBA;20080925;0
MBA;20080926;0
MBA;20080927;0
MBA;20080928;0
MBA;20080929;0
MBA;20080930;0
MBA;20081001;0
MBA;20081002;0
MBA;20081003;0
MBA;20081004;0
MBA;20081005;0
MBA;20081006;0
MBA;20081007;0
MBA;20081008;0
MBA;20081009;0
MBA;20081010;0
MBA;20081011;0
MBA;20081012;0
MBA;20081013;0
MBA;20081014;0
MBA;20081015;0
MBA;20081016;0
MBA;20081017;0
MBA;20081018;0
MBA;20081019;0
MBA;20081020;0
MBA;20081021;0
MBA;20081022;0
MBA;20081023;0
MBA;20081024;0
MBA;20081025;0
MBA;20081026;0
MBA;20081027;0
MBA;20081028;0
MBA;20081029;0
MBA;20081030;0
MBA;20081031;0
MBA;20081101;0
MBA;20081102;0
MBA;20081103;0
MBA;20081104;0
MBA;20081105;0
MBA;20081106;0
MBA;20081107;0
MBA;20081108;0
MBA;20081109;0
MBA;20081110;0
MBA;20081111;0
MBA;20081112;0
MBA;20081113;0
MBA;20081114;0
MBA;20081115;0
MBA;20081116;0
MBA;20081117;0
MBA;20081118;0
MBA;20081119;0
MBA;20081120;0
MBA;20081121;0
MBA;20081122;0
MBA;20081123;0
MBA;20081124;0
MBA;20081125;0
MBA;20081126;0
MBA;20081127;0
MBA;20081128;0
MBA;20081129;0
MBA;20081130;0
MBA;20081201;0
MBA;20081202;0
MBA;20081203;0
MBA;20081204;0
MBA;20081205;0
MBA;20081206;0
MBA;20081207;0
MBA;20081208;0
MBA;20081209;0
MBA;20081210;0
MBA;20081211;0
MBA;20081212;0
MBA;20081213;0
MBA;20081214;0
MBA;20081215;0
MBA;20081216;0
MBA;20081217;0
MBA;20081218;0
MBA;20081219;0
MBA;20081220;0
MBA;20081221;0
