Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94069

Filename                                Filetype  Station                              Parameter                                                   Period
order_94069_IYPFI_rzz150mx_1_legend.txt Legend    Pfitsch / St. Jakob                  Precipitation; maximum ten minute total of the month        201012-201409
order_94069_IYPFI_rzz150mx_2_data.txt   Data      Pfitsch / St. Jakob                  Precipitation; maximum ten minute total of the month        201410-201902
order_94069_IYPFI_rzz150mx_2_legend.txt Legend    Pfitsch / St. Jakob                  Precipitation; maximum ten minute total of the month        201410-201902
order_94069_IYPFI_rzz150mx_3_data.txt   Data      Pfitsch / St. Jakob                  Precipitation; maximum ten minute total of the month        201905-201907
order_94069_IYPFI_rzz150mx_3_legend.txt Legend    Pfitsch / St. Jakob                  Precipitation; maximum ten minute total of the month        201905-201907
order_94069_IYPFI_rzz150mx_4_data.txt   Data      Pfitsch / St. Jakob                  Precipitation; maximum ten minute total of the month        201909-201912
order_94069_IYPFI_rzz150mx_4_legend.txt Legend    Pfitsch / St. Jakob                  Precipitation; maximum ten minute total of the month        201909-201912
order_94069_IYPFI_rzz150mx_5_data.txt   Data      Pfitsch / St. Jakob                  Precipitation; maximum ten minute total of the month        202001-202002
order_94069_IYPFI_rzz150mx_5_legend.txt Legend    Pfitsch / St. Jakob                  Precipitation; maximum ten minute total of the month        202001-202002
order_94069_IYPFI_rzz150mx_6_data.txt   Data      Pfitsch / St. Jakob                  Precipitation; maximum ten minute total of the month        202009-202011
order_94069_IYPFI_rzz150mx_6_legend.txt Legend    Pfitsch / St. Jakob                  Precipitation; maximum ten minute total of the month        202009-202011
order_94069_IYPRU_rzz150mx_1_data.txt   Data      Prettau                              Precipitation; maximum ten minute total of the month        200302-200310
