 

stn;time;rhs150m0
KLA;197608;86.8
KLA;197609;211.1
KLA;197610;88.2
KLA;197611;96.9
KLA;197612;104.7
KLA;197701;81.1
KLA;197702;130.7
KLA;197703;96.2
KLA;197704;161.0
KLA;197705;67.7
KLA;197706;86.2
KLA;197707;188.5
KLA;197708;155.1
KLA;197709;47.8
KLA;197710;33.0
KLA;197711;91.1
KLA;197712;83.7
KLA;197801;92.6
KLA;197802;128.9
KLA;197803;153.3
KLA;197804;63.4
KLA;197805;138.4
KLA;197806;159.8
KLA;197807;160.0
KLA;197808;128.2
KLA;197809;135.2
KLA;197810;102.7
KLA;197811;22.6
KLA;197812;56.8
KLA;197901;95.0
KLA;197902;42.0
KLA;197903;178.4
KLA;197904;88.4
KLA;197905;87.9
KLA;197906;184.3
KLA;197907;71.1
KLA;197908;151.4
KLA;197909;125.9
KLA;197910;105.0
KLA;197911;184.3
KLA;197912;151.1
KLA;198001;88.2
KLA;198002;69.3
KLA;198003;83.5
KLA;198004;121.8
KLA;198005;67.2
KLA;198006;196.5
KLA;198007;206.1
KLA;198008;107.3
KLA;198009;31.9
KLA;198010;214.1
KLA;198011;57.1
KLA;198012;99.1
KLA;198101;218.7
KLA;198102;40.9
KLA;198103;108.5
KLA;198104;26.4
KLA;198105;106.4
KLA;198106;76.9
KLA;198107;223.5
KLA;198108;73.3
KLA;198109;158.2
KLA;198110;135.0
KLA;198111;121.4
KLA;198112;166.5
KLA;198201;181.9
KLA;198202;10.9
KLA;198203;92.2
KLA;198204;32.2
KLA;198205;80.4
KLA;198206;221.6
KLA;198207;89.1
KLA;198208;172.5
KLA;198209;77.4
KLA;198210;51.8
KLA;198211;73.4
KLA;198212;84.1
KLA;198301;228.5
KLA;198302;34.2
KLA;198303;54.8
KLA;198304;98.2
KLA;198305;218.6
KLA;198306;67.2
KLA;198307;49.9
KLA;198308;127.7
KLA;198309;168.0
KLA;198310;64.0
KLA;198311;93.9
KLA;198312;71.7
KLA;198401;103.9
KLA;198402;112.9
KLA;198403;67.2
KLA;198404;56.0
KLA;198405;79.0
KLA;198406;103.8
KLA;198407;73.0
KLA;198408;83.8
KLA;198409;269.6
KLA;198410;59.7
KLA;198411;51.6
KLA;198412;49.2
KLA;198501;81.3
KLA;198502;70.4
KLA;198503;57.1
KLA;198504;149.7
KLA;198505;96.5
KLA;198506;156.9
KLA;198507;159.5
KLA;198508;231.0
KLA;198509;40.9
KLA;198510;6.0
KLA;198511;69.7
KLA;198512;38.8
KLA;198601;234.2
KLA;198602;25.0
KLA;198603;77.1
KLA;198604;103.8
KLA;198605;104.9
KLA;198606;119.5
KLA;198607;131.0
KLA;198608;159.6
KLA;198609;40.1
KLA;198610;53.3
KLA;198611;35.2
KLA;198612;162.7
KLA;198701;93.5
KLA;198702;84.9
KLA;198703;114.1
KLA;198704;73.1
KLA;198705;176.6
KLA;198706;201.8
KLA;198707;224.7
KLA;198708;123.6
KLA;198709;100.1
KLA;198710;38.0
KLA;198711;87.2
KLA;198712;67.3
KLA;198801;62.1
KLA;198802;98.7
KLA;198803;240.9
KLA;198804;56.4
KLA;198805;105.6
KLA;198806;129.1
KLA;198807;95.2
KLA;198808;185.3
KLA;198809;80.4
KLA;198810;86.0
KLA;198811;54.2
KLA;198812;186.2
KLA;198901;16.6
KLA;198902;55.6
KLA;198903;81.1
KLA;198904;149.5
KLA;198905;42.0
KLA;198906;137.2
KLA;198907;173.3
KLA;198908;157.2
KLA;198909;94.6
KLA;198910;60.6
KLA;198911;54.3
KLA;198912;52.1
KLA;199001;21.1
KLA;199002;200.4
KLA;199003;42.9
KLA;199004;120.4
KLA;199005;55.5
KLA;199006;179.6
KLA;199007;112.2
KLA;199008;80.1
KLA;199009;86.3
KLA;199010;72.0
KLA;199011;92.8
KLA;199012;57.0
KLA;199101;41.5
KLA;199102;39.7
KLA;199103;58.6
KLA;199104;42.0
KLA;199105;118.3
KLA;199106;137.6
KLA;199107;148.1
KLA;199108;45.5
KLA;199109;111.0
KLA;199110;31.4
KLA;199111;80.2
KLA;199112;264.6
KLA;199201;8.0
KLA;199202;138.0
KLA;199203;211.8
KLA;199204;100.1
KLA;199205;28.3
KLA;199206;71.5
KLA;199207;138.5
KLA;199208;136.5
KLA;199209;64.2
KLA;199210;105.7
KLA;199211;167.5
KLA;199212;77.0
KLA;199301;62.7
KLA;199302;56.4
KLA;199303;53.3
KLA;199304;79.0
KLA;199305;97.0
KLA;199306;210.6
KLA;199307;191.0
KLA;199308;119.5
KLA;199309;131.1
KLA;199310;139.5
KLA;199311;42.4
KLA;199312;126.3
KLA;199401;113.0
KLA;199402;55.3
KLA;199403;68.0
KLA;199404;123.7
KLA;199405;113.4
KLA;199406;132.0
KLA;199407;99.7
KLA;199408;209.4
KLA;199409;179.9
KLA;199410;37.7
KLA;199411;94.1
KLA;199412;67.5
KLA;199501;215.2
KLA;199502;82.8
KLA;199503;112.1
KLA;199504;106.1
KLA;199505;93.3
KLA;199506;202.7
KLA;199507;105.6
KLA;199508;189.4
KLA;199509;83.8
KLA;199510;3.2
KLA;199511;87.3
KLA;199512;84.0
KLA;199601;3.6
KLA;199602;54.1
KLA;199603;52.1
KLA;199604;43.6
KLA;199605;104.0
KLA;199606;167.2
KLA;199607;172.4
KLA;199608;155.1
KLA;199609;113.1
KLA;199610;151.2
KLA;199611;177.2
KLA;199612;39.0
KLA;199701;10.2
KLA;199702;60.2
KLA;199703;107.2
KLA;199704;117.9
KLA;199705;71.1
KLA;199706;170.2
KLA;199707;165.6
KLA;199708;100.9
KLA;199709;36.6
KLA;199710;71.2
KLA;199711;76.9
KLA;199712;81.9
KLA;199801;66.4
KLA;199802;18.4
KLA;199803;118.5
KLA;199804;94.0
KLA;199805;36.9
KLA;199806;173.0
KLA;199807;155.4
KLA;199808;105.3
KLA;199809;165.8
KLA;199810;156.4
KLA;199811;101.1
KLA;199812;58.8
KLA;199901;115.3
KLA;199902;305.6
KLA;199903;65.2
KLA;199904;130.7
KLA;199905;174.7
KLA;199906;227.3
KLA;199907;88.2
KLA;199908;207.2
KLA;199909;188.4
KLA;199910;83.0
KLA;199911;137.2
KLA;199912;131.2
KLA;200001;102.4
KLA;200002;124.6
KLA;200003;181.8
KLA;200004;88.9
KLA;200005;79.5
KLA;200006;81.8
KLA;200007;233.4
KLA;200008;179.4
KLA;200009;91.1
KLA;200010;84.9
KLA;200011;152.7
KLA;200012;23.3
KLA;200101;85.0
KLA;200102;98.1
KLA;200103;140.7
KLA;200104;167.9
KLA;200105;47.1
KLA;200106;287.0
KLA;200107;139.2
KLA;200108;185.8
KLA;200109;164.3
KLA;200110;56.2
KLA;200111;94.7
KLA;200112;56.3
KLA;200201;12.4
KLA;200202;69.8
KLA;200203;136.7
KLA;200204;72.2
KLA;200205;144.1
KLA;200206;147.9
KLA;200207;113.1
KLA;200208;190.7
KLA;200209;116.4
KLA;200210;87.0
KLA;200211;238.8
KLA;200212;80.6
KLA;200301;79.0
KLA;200302;58.3
KLA;200303;16.8
KLA;200304;48.0
KLA;200305;105.1
KLA;200306;71.9
KLA;200307;118.7
KLA;200308;104.9
KLA;200309;42.9
KLA;200310;218.2
KLA;200311;45.1
KLA;200312;74.1
KLA;200401;176.9
