Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94859

Filename                                Filetype  Station                              Parameter                                                   Period
order_94859_CMA_fu3010m1_1_legend.txt   Legend    Crap Masegn                          Gust peak (one second); monthly maximum                     202102-202104
order_94859_CRM_fu3010m1_1_data.txt     Data      Cressier                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_CRM_fu3010m1_1_legend.txt   Legend    Cressier                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_DAV_fu3010m1_1_data.txt     Data      Davos                                Gust peak (one second); monthly maximum                     202102-202104
order_94859_DAV_fu3010m1_1_legend.txt   Legend    Davos                                Gust peak (one second); monthly maximum                     202102-202104
order_94859_NABDAV_fu3010m1_1_data.txt  Data      Davos / Seehornwald                  Gust peak (one second); monthly maximum                     202102-202104
order_94859_NABDAV_fu3010m1_1_legend.txt Legend    Davos / Seehornwald                  Gust peak (one second); monthly maximum                     202102-202104
order_94859_DEM_fu3010m1_1_data.txt     Data      Delémont                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_DEM_fu3010m1_1_legend.txt   Legend    Delémont                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLDEU_fu3010m1_1_data.txt   Data      Deuselbach                           Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLDEU_fu3010m1_1_legend.txt Legend    Deuselbach                           Gust peak (one second); monthly maximum                     202102-202104
order_94859_DIS_fu3010m1_1_data.txt     Data      Disentis                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_DIS_fu3010m1_1_legend.txt   Legend    Disentis                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLDRE_fu3010m1_1_data.txt   Data      Dresden / Klotzsche                  Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLDRE_fu3010m1_1_legend.txt Legend    Dresden / Klotzsche                  Gust peak (one second); monthly maximum                     202102-202104
order_94859_MMDAS_fu3010m1_1_data.txt   Data      Därstetten                           Gust peak (one second); monthly maximum                     202102-202104
order_94859_MMDAS_fu3010m1_1_legend.txt Legend    Därstetten                           Gust peak (one second); monthly maximum                     202102-202104
order_94859_DUB_fu3010m1_1_data.txt     Data      Dübendorf                            Gust peak (one second); monthly maximum                     202102-202104
order_94859_DUB_fu3010m1_1_legend.txt   Legend    Dübendorf                            Gust peak (one second); monthly maximum                     202102-202104
order_94859_NABDUE_fu3010m1_1_data.txt  Data      Dübendorf / Giessen                  Gust peak (one second); monthly maximum                     202102-202104
order_94859_NABDUE_fu3010m1_1_legend.txt Legend    Dübendorf / Giessen                  Gust peak (one second); monthly maximum                     202102-202104
order_94859_EBK_fu3010m1_1_data.txt     Data      Ebnat-Kappel                         Gust peak (one second); monthly maximum                     202102-202104
order_94859_EBK_fu3010m1_1_legend.txt   Legend    Ebnat-Kappel                         Gust peak (one second); monthly maximum                     202102-202104
order_94859_EGH_fu3010m1_1_data.txt     Data      Eggishorn                            Gust peak (one second); monthly maximum                     202102-202104
order_94859_EGH_fu3010m1_1_legend.txt   Legend    Eggishorn                            Gust peak (one second); monthly maximum                     202102-202104
order_94859_TGEGN_fu3010m1_1_data.txt   Data      Egnach                               Gust peak (one second); monthly maximum                     202102-202104
order_94859_TGEGN_fu3010m1_1_legend.txt Legend    Egnach                               Gust peak (one second); monthly maximum                     202102-202104
order_94859_EGO_fu3010m1_1_data.txt     Data      Egolzwil                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_EGO_fu3010m1_1_legend.txt   Legend    Egolzwil                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_EIN_fu3010m1_1_data.txt     Data      Einsiedeln                           Gust peak (one second); monthly maximum                     202102-202104
order_94859_EIN_fu3010m1_1_legend.txt   Legend    Einsiedeln                           Gust peak (one second); monthly maximum                     202102-202104
order_94859_ELM_fu3010m1_1_data.txt     Data      Elm                                  Gust peak (one second); monthly maximum                     202102-202104
order_94859_ELM_fu3010m1_1_legend.txt   Legend    Elm                                  Gust peak (one second); monthly maximum                     202102-202104
order_94859_EMM_fu3010m1_1_data.txt     Data      Emmen                                Gust peak (one second); monthly maximum                     202102-202104
order_94859_EMM_fu3010m1_1_legend.txt   Legend    Emmen                                Gust peak (one second); monthly maximum                     202102-202104
order_94859_ENG_fu3010m1_1_data.txt     Data      Engelberg                            Gust peak (one second); monthly maximum                     202102-202104
order_94859_ENG_fu3010m1_1_legend.txt   Legend    Engelberg                            Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLERF_fu3010m1_1_data.txt   Data      Erfurt / Bindersleben                Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLERF_fu3010m1_1_legend.txt Legend    Erfurt / Bindersleben                Gust peak (one second); monthly maximum                     202102-202104
order_94859_MMERZ_fu3010m1_1_data.txt   Data      Eriz                                 Gust peak (one second); monthly maximum                     202102-202104
order_94859_MMERZ_fu3010m1_1_legend.txt Legend    Eriz                                 Gust peak (one second); monthly maximum                     202102-202104
order_94859_TGERM_fu3010m1_1_data.txt   Data      Ermatingen                           Gust peak (one second); monthly maximum                     202102-202104
order_94859_TGERM_fu3010m1_1_legend.txt Legend    Ermatingen                           Gust peak (one second); monthly maximum                     202102-202104
order_94859_INNESF_fu3010m1_1_data.txt  Data      Erstfeld                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_INNESF_fu3010m1_1_legend.txt Legend    Erstfeld                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_KAETT_fu3010m1_1_data.txt   Data      Ettingen                             Gust peak (one second); monthly maximum                     202103-202104
order_94859_KAETT_fu3010m1_1_legend.txt Legend    Ettingen                             Gust peak (one second); monthly maximum                     202103-202104
order_94859_WNSEVI_fu3010m1_1_data.txt  Data      Evian                                Gust peak (one second); monthly maximum                     202103-202104
order_94859_WNSEVI_fu3010m1_1_legend.txt Legend    Evian                                Gust peak (one second); monthly maximum                     202103-202104
order_94859_EVI_fu3010m1_1_data.txt     Data      Evionnaz                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_EVI_fu3010m1_1_legend.txt   Legend    Evionnaz                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_EVO_fu3010m1_1_data.txt     Data      Evolène / Villa                      Gust peak (one second); monthly maximum                     202102-202104
order_94859_EVO_fu3010m1_1_legend.txt   Legend    Evolène / Villa                      Gust peak (one second); monthly maximum                     202102-202104
order_94859_FAH_fu3010m1_1_data.txt     Data      Fahy                                 Gust peak (one second); monthly maximum                     202102-202104
order_94859_FAH_fu3010m1_1_legend.txt   Legend    Fahy                                 Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLFEB_fu3010m1_1_data.txt   Data      Feldberg, Schwarzwald                Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLFEB_fu3010m1_1_legend.txt Legend    Feldberg, Schwarzwald                Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLFEU_fu3010m1_1_data.txt   Data      Feuchtwangen / Heilbronn             Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLFEU_fu3010m1_1_legend.txt Legend    Feuchtwangen / Heilbronn             Gust peak (one second); monthly maximum                     202102-202104
order_94859_FLU_fu3010m1_1_data.txt     Data      Flühli, LU                           Gust peak (one second); monthly maximum                     202102-202104
order_94859_FLU_fu3010m1_1_legend.txt   Legend    Flühli, LU                           Gust peak (one second); monthly maximum                     202102-202104
order_94859_MMFRS_fu3010m1_1_data.txt   Data      Frasco                               Gust peak (one second); monthly maximum                     202102-202104
order_94859_MMFRS_fu3010m1_1_legend.txt Legend    Frasco                               Gust peak (one second); monthly maximum                     202102-202104
order_94859_TGFRA_fu3010m1_1_data.txt   Data      Frauenfeld                           Gust peak (one second); monthly maximum                     202102-202104
order_94859_TGFRA_fu3010m1_1_legend.txt Legend    Frauenfeld                           Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLFRB_fu3010m1_1_data.txt   Data      Freiburg                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLFRB_fu3010m1_1_legend.txt Legend    Freiburg                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLFRS_fu3010m1_1_data.txt   Data      Freudenstadt                         Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLFRS_fu3010m1_1_legend.txt Legend    Freudenstadt                         Gust peak (one second); monthly maximum                     202102-202104
order_94859_GRA_fu3010m1_1_data.txt     Data      Fribourg / Grangeneuve               Gust peak (one second); monthly maximum                     202102-202104
order_94859_GRA_fu3010m1_1_legend.txt   Legend    Fribourg / Grangeneuve               Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLFRI_fu3010m1_1_data.txt   Data      Friedrichshafen                      Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLFRI_fu3010m1_1_legend.txt Legend    Friedrichshafen                      Gust peak (one second); monthly maximum                     202102-202104
order_94859_FRU_fu3010m1_1_data.txt     Data      Frutigen                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_FRU_fu3010m1_1_legend.txt   Legend    Frutigen                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_MFOFKP_fu3010m1_1_data.txt  Data      Furkapass                            Gust peak (one second); monthly maximum                     202102-202104
order_94859_MFOFKP_fu3010m1_1_legend.txt Legend    Furkapass                            Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLFUR_fu3010m1_1_data.txt   Data      Fürstenzell                          Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLFUR_fu3010m1_1_legend.txt Legend    Fürstenzell                          Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLGAI_fu3010m1_1_data.txt   Data      Gailingen                            Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLGAI_fu3010m1_1_legend.txt Legend    Gailingen                            Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLGAR_fu3010m1_1_data.txt   Data      Garmisch-Partenkirchen               Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLGAR_fu3010m1_1_legend.txt Legend    Garmisch-Partenkirchen               Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLGEL_fu3010m1_1_data.txt   Data      Gelbelsee                            Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLGEL_fu3010m1_1_legend.txt Legend    Gelbelsee                            Gust peak (one second); monthly maximum                     202102-202104
order_94859_GVE_fu3010m1_1_data.txt     Data      Genève / Cointrin                    Gust peak (one second); monthly maximum                     202102-202104
order_94859_GVE_fu3010m1_1_legend.txt   Legend    Genève / Cointrin                    Gust peak (one second); monthly maximum                     202102-202104
order_94859_GES_fu3010m1_1_data.txt     Data      Gersau                               Gust peak (one second); monthly maximum                     202102-202104
order_94859_GES_fu3010m1_1_legend.txt   Legend    Gersau                               Gust peak (one second); monthly maximum                     202102-202104
order_94859_GIH_fu3010m1_1_data.txt     Data      Giswil                               Gust peak (one second); monthly maximum                     202102-202104
