Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94075

Filename                                Filetype  Station                              Parameter                                                   Period
order_94075_VDCRI_rhh150mx_1_legend.txt Legend    Crissier                             Precipitation; maximum total per hour of the month          201212-202103
order_94075_DLDEU_rhh150mx_1_data.txt   Data      Deuselbach                           Precipitation; maximum total per hour of the month          202008-202103
order_94075_DLDEU_rhh150mx_1_legend.txt Legend    Deuselbach                           Precipitation; maximum total per hour of the month          202008-202103
order_94075_EVI_rhh150mx_1_data.txt     Data      Evionnaz                             Precipitation; maximum total per hour of the month          201312-202103
order_94075_EVI_rhh150mx_1_legend.txt   Legend    Evionnaz                             Precipitation; maximum total per hour of the month          201312-202103
order_94075_DLFEL_rhh150mx_1_data.txt   Data      Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum total per hour of the month          200612-202103
order_94075_DLFEL_rhh150mx_1_legend.txt Legend    Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum total per hour of the month          200612-202103
order_94075_DLFEU_rhh150mx_1_data.txt   Data      Feuchtwangen / Heilbronn             Precipitation; maximum total per hour of the month          202008-202102
order_94075_DLFEU_rhh150mx_1_legend.txt Legend    Feuchtwangen / Heilbronn             Precipitation; maximum total per hour of the month          202008-202102
order_94075_DLHAH_rhh150mx_1_data.txt   Data      Frankfurt / Hahn Flughafen           Precipitation; maximum total per hour of the month          202008-202009
order_94075_DLHAH_rhh150mx_1_legend.txt Legend    Frankfurt / Hahn Flughafen           Precipitation; maximum total per hour of the month          202008-202009
order_94075_DLHAH_rhh150mx_2_data.txt   Data      Frankfurt / Hahn Flughafen           Precipitation; maximum total per hour of the month          202010-202103
order_94075_DLHAH_rhh150mx_2_legend.txt Legend    Frankfurt / Hahn Flughafen           Precipitation; maximum total per hour of the month          202010-202103
order_94075_VDFEC_rhh150mx_1_data.txt   Data      Féchy                                Precipitation; maximum total per hour of the month          201212-202103
order_94075_VDFEC_rhh150mx_1_legend.txt Legend    Féchy                                Precipitation; maximum total per hour of the month          201212-202103
order_94075_DLFUR_rhh150mx_1_data.txt   Data      Fürstenzell                          Precipitation; maximum total per hour of the month          202008-202012
order_94075_DLFUR_rhh150mx_1_legend.txt Legend    Fürstenzell                          Precipitation; maximum total per hour of the month          202008-202012
order_94075_DLFUR_rhh150mx_2_data.txt   Data      Fürstenzell                          Precipitation; maximum total per hour of the month          202101-202103
order_94075_DLFUR_rhh150mx_2_legend.txt Legend    Fürstenzell                          Precipitation; maximum total per hour of the month          202101-202103
order_94075_GIH_rhh150mx_1_data.txt     Data      Giswil                               Precipitation; maximum total per hour of the month          201009-201012
order_94075_GIH_rhh150mx_1_legend.txt   Legend    Giswil                               Precipitation; maximum total per hour of the month          201009-201012
order_94075_GIH_rhh150mx_2_data.txt     Data      Giswil                               Precipitation; maximum total per hour of the month          201101-201203
order_94075_GIH_rhh150mx_2_legend.txt   Legend    Giswil                               Precipitation; maximum total per hour of the month          201101-201203
order_94075_GIH_rhh150mx_3_data.txt     Data      Giswil                               Precipitation; maximum total per hour of the month          201204-201212
order_94075_GIH_rhh150mx_3_legend.txt   Legend    Giswil                               Precipitation; maximum total per hour of the month          201204-201212
order_94075_GIH_rhh150mx_4_data.txt     Data      Giswil                               Precipitation; maximum total per hour of the month          201302-201304
order_94075_GIH_rhh150mx_4_legend.txt   Legend    Giswil                               Precipitation; maximum total per hour of the month          201302-201304
order_94075_GIH_rhh150mx_5_data.txt     Data      Giswil                               Precipitation; maximum total per hour of the month          201305-201404
