Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94867

Filename                                Filetype  Station                              Parameter                                                   Period
order_94867_GLDBA_rzz150mx_1_data.txt   Data      Diesbach                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_GLDBA_rzz150mx_1_legend.txt Legend    Diesbach                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_TGDIE_rzz150mx_1_data.txt   Data      Diessenhofen                         Precipitation; maximum ten minute total of the month        202102-202104
order_94867_TGDIE_rzz150mx_1_legend.txt Legend    Diessenhofen                         Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DIT_rzz150mx_1_data.txt     Data      Dietikon                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DIT_rzz150mx_1_legend.txt   Legend    Dietikon                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLDIG_rzz150mx_1_data.txt   Data      Dillingen                            Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLDIG_rzz150mx_1_legend.txt Legend    Dillingen                            Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLDRE_rzz150mx_1_data.txt   Data      Dresden / Klotzsche                  Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLDRE_rzz150mx_1_legend.txt Legend    Dresden / Klotzsche                  Precipitation; maximum ten minute total of the month        202102-202104
order_94867_TGDUS_rzz150mx_1_data.txt   Data      Dussnang                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_TGDUS_rzz150mx_1_legend.txt Legend    Dussnang                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_NABDUE_rzz150mx_1_data.txt  Data      Dübendorf / Giessen                  Precipitation; maximum ten minute total of the month        202102-202104
order_94867_NABDUE_rzz150mx_1_legend.txt Legend    Dübendorf / Giessen                  Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLEBE_rzz150mx_1_data.txt   Data      Ebersberg                            Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLEBE_rzz150mx_1_legend.txt Legend    Ebersberg                            Precipitation; maximum ten minute total of the month        202102-202104
order_94867_EBK_rzz150mx_1_data.txt     Data      Ebnat-Kappel                         Precipitation; maximum ten minute total of the month        202102-202104
order_94867_EBK_rzz150mx_1_legend.txt   Legend    Ebnat-Kappel                         Precipitation; maximum ten minute total of the month        202102-202104
order_94867_EGO_rzz150mx_1_data.txt     Data      Egolzwil                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_EGO_rzz150mx_1_legend.txt   Legend    Egolzwil                             Precipitation; maximum ten minute total of the month        202102-202104
order_94867_OED_rzz150mx_1_data.txt     Data      Ehrendingen                          Precipitation; maximum ten minute total of the month        202102-202104
order_94867_OED_rzz150mx_1_legend.txt   Legend    Ehrendingen                          Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLELZ_rzz150mx_1_data.txt   Data      Elzach / Fisnacht                    Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLELZ_rzz150mx_1_legend.txt Legend    Elzach / Fisnacht                    Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLEMM_rzz150mx_1_data.txt   Data      Emmendingen / Mundingen              Precipitation; maximum ten minute total of the month        202102-202104
