Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94908

Filename                                Filetype  Station                              Parameter                                                   Period
order_94908_ERL_rti150yx_1_data.txt     Data      Erlenpumpwerk                        Precipitation; date of the maximum daily total of the year  1968-1994
order_94908_ERL_rti150yx_1_legend.txt   Legend    Erlenpumpwerk                        Precipitation; date of the maximum daily total of the year  1968-1994
order_94908_WOB_rti150yx_1_data.txt     Data      Ermatingen                           Precipitation; date of the maximum daily total of the year  1968-1972
order_94908_WOB_rti150yx_1_legend.txt   Legend    Ermatingen                           Precipitation; date of the maximum daily total of the year  1968-1972
order_94908_WOB_rti150yx_2_data.txt     Data      Ermatingen                           Precipitation; date of the maximum daily total of the year  1977-2011
order_94908_WOB_rti150yx_2_legend.txt   Legend    Ermatingen                           Precipitation; date of the maximum daily total of the year  1977-2011
order_94908_KAETT_rti150yx_1_data.txt   Data      Ettingen                             Precipitation; date of the maximum daily total of the year  2018-2020
order_94908_KAETT_rti150yx_1_legend.txt Legend    Ettingen                             Precipitation; date of the maximum daily total of the year  2018-2020
order_94908_FRF_rti150yx_1_data.txt     Data      Frauenfeld                           Precipitation; date of the maximum daily total of the year  1863-1872
order_94908_FRF_rti150yx_1_legend.txt   Legend    Frauenfeld                           Precipitation; date of the maximum daily total of the year  1863-1872
order_94908_FRF_rti150yx_2_data.txt     Data      Frauenfeld                           Precipitation; date of the maximum daily total of the year  1878-2020
order_94908_FRF_rti150yx_2_legend.txt   Legend    Frauenfeld                           Precipitation; date of the maximum daily total of the year  1878-2020
order_94908_TGFRA_rti150yx_1_data.txt   Data      Frauenfeld                           Precipitation; date of the maximum daily total of the year  2010-2014
order_94908_TGFRA_rti150yx_1_legend.txt Legend    Frauenfeld                           Precipitation; date of the maximum daily total of the year  2010-2014
order_94908_TGFRA_rti150yx_2_data.txt   Data      Frauenfeld                           Precipitation; date of the maximum daily total of the year  2015-2020
order_94908_TGFRA_rti150yx_2_legend.txt Legend    Frauenfeld                           Precipitation; date of the maximum daily total of the year  2015-2020
order_94908_DLFRB_rti150yx_1_data.txt   Data      Freiburg                             Precipitation; date of the maximum daily total of the year  1920-1922
order_94908_DLFRB_rti150yx_1_legend.txt Legend    Freiburg                             Precipitation; date of the maximum daily total of the year  1920-1922
order_94908_DLFRB_rti150yx_2_data.txt   Data      Freiburg                             Precipitation; date of the maximum daily total of the year  1924-1934
order_94908_DLFRB_rti150yx_2_legend.txt Legend    Freiburg                             Precipitation; date of the maximum daily total of the year  1924-1934
order_94908_DLFRB_rti150yx_3_data.txt   Data      Freiburg                             Precipitation; date of the maximum daily total of the year  1949-2020
order_94908_DLFRB_rti150yx_3_legend.txt Legend    Freiburg                             Precipitation; date of the maximum daily total of the year  1949-2020
order_94908_FRI_rti150yx_1_data.txt     Data      Frick                                Precipitation; date of the maximum daily total of the year  1925-2020
order_94908_FRI_rti150yx_1_legend.txt   Legend    Frick                                Precipitation; date of the maximum daily total of the year  1925-2020
order_94908_AGFRI_rti150yx_1_data.txt   Data      Frick                                Precipitation; date of the maximum daily total of the year  2008-2013
order_94908_AGFRI_rti150yx_1_legend.txt Legend    Frick                                Precipitation; date of the maximum daily total of the year  2008-2013
order_94908_AGFRI_rti150yx_2_data.txt   Data      Frick                                Precipitation; date of the maximum daily total of the year  2014-2020
order_94908_AGFRI_rti150yx_2_legend.txt Legend    Frick                                Precipitation; date of the maximum daily total of the year  2014-2020
order_94908_DLFRI_rti150yx_1_data.txt   Data      Friedrichshafen                      Precipitation; date of the maximum daily total of the year  1946-1979
order_94908_DLFRI_rti150yx_1_legend.txt Legend    Friedrichshafen                      Precipitation; date of the maximum daily total of the year  1946-1979
order_94908_IYGAR_rti150yx_1_data.txt   Data      Gargazon                             Precipitation; date of the maximum daily total of the year  2016-2019
