Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95474

Filename                                Filetype  Station                              Parameter                                                   Period
order_95474_GLSAN_rre002mx_3_data.txt   Data      Hinter Sand                          Precipitation; maximum 2-day total of the month             201407-202006
order_95474_GLSAN_rre002mx_3_legend.txt Legend    Hinter Sand                          Precipitation; maximum 2-day total of the month             201407-202006
order_95474_GLSAN_rre002mx_4_data.txt   Data      Hinter Sand                          Precipitation; maximum 2-day total of the month             202007-202105
order_95474_GLSAN_rre002mx_4_legend.txt Legend    Hinter Sand                          Precipitation; maximum 2-day total of the month             202007-202105
order_95474_HOY_rre002mx_1_data.txt     Data      Hoch-Ybrig                           Precipitation; maximum 2-day total of the month             197212-202105
order_95474_HOY_rre002mx_1_legend.txt   Legend    Hoch-Ybrig                           Precipitation; maximum 2-day total of the month             197212-202105
order_95474_HER_rre002mx_1_data.txt     Data      Hérémence                            Precipitation; maximum 2-day total of the month             190601-196008
order_95474_HER_rre002mx_1_legend.txt   Legend    Hérémence                            Precipitation; maximum 2-day total of the month             190601-196008
order_95474_HER_rre002mx_2_data.txt     Data      Hérémence                            Precipitation; maximum 2-day total of the month             196012-200609
order_95474_HER_rre002mx_2_legend.txt   Legend    Hérémence                            Precipitation; maximum 2-day total of the month             196012-200609
order_95474_HER_rre002mx_3_data.txt     Data      Hérémence                            Precipitation; maximum 2-day total of the month             200704-202105
order_95474_HER_rre002mx_3_legend.txt   Legend    Hérémence                            Precipitation; maximum 2-day total of the month             200704-202105
order_95474_HOE_rre002mx_1_data.txt     Data      Hörnli                               Precipitation; maximum 2-day total of the month             200506-202105
order_95474_HOE_rre002mx_1_legend.txt   Legend    Hörnli                               Precipitation; maximum 2-day total of the month             200506-202105
order_95474_WSLISB_rre002mx_1_data.txt  Data      Isone Bestand                        Precipitation; maximum 2-day total of the month             201712-202006
order_95474_WSLISB_rre002mx_1_legend.txt Legend    Isone Bestand                        Precipitation; maximum 2-day total of the month             201712-202006
