Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95483

Filename                                Filetype  Station                              Parameter                                                   Period
order_95483_ERB_rre003mx_1_legend.txt   Legend    Erlenbach im Simmental               Precipitation; maximum 3-day total of the month             196812-202105
order_95483_EHM_rre003mx_1_data.txt     Data      Escholzmatt                          Precipitation; maximum 3-day total of the month             190012-202105
order_95483_EHM_rre003mx_1_legend.txt   Legend    Escholzmatt                          Precipitation; maximum 3-day total of the month             190012-202105
order_95483_EUT_rre003mx_1_data.txt     Data      Euthal                               Precipitation; maximum 3-day total of the month             197212-202105
order_95483_EUT_rre003mx_1_legend.txt   Legend    Euthal                               Precipitation; maximum 3-day total of the month             197212-202105
order_95483_EVD_rre003mx_1_data.txt     Data      Evilard / Leubringen                 Precipitation; maximum 3-day total of the month             190412-196412
order_95483_EVD_rre003mx_1_legend.txt   Legend    Evilard / Leubringen                 Precipitation; maximum 3-day total of the month             190412-196412
order_95483_FAI_rre003mx_1_data.txt     Data      Faido                                Precipitation; maximum 3-day total of the month             198112-201412
order_95483_FAI_rre003mx_1_legend.txt   Legend    Faido                                Precipitation; maximum 3-day total of the month             198112-201412
order_95483_FAI_rre003mx_2_data.txt     Data      Faido                                Precipitation; maximum 3-day total of the month             201501-202105
order_95483_FAI_rre003mx_2_legend.txt   Legend    Faido                                Precipitation; maximum 3-day total of the month             201501-202105
order_95483_FES_rre003mx_1_data.txt     Data      Fescoggia                            Precipitation; maximum 3-day total of the month             196012-197812
order_95483_FES_rre003mx_1_legend.txt   Legend    Fescoggia                            Precipitation; maximum 3-day total of the month             196012-197812
order_95483_FEY_rre003mx_1_data.txt     Data      Fey                                  Precipitation; maximum 3-day total of the month             195906-198012
order_95483_FEY_rre003mx_1_legend.txt   Legend    Fey                                  Precipitation; maximum 3-day total of the month             195906-198012
order_95483_FEY_rre003mx_2_data.txt     Data      Fey                                  Precipitation; maximum 3-day total of the month             198407-200510
order_95483_FEY_rre003mx_2_legend.txt   Legend    Fey                                  Precipitation; maximum 3-day total of the month             198407-200510
order_95483_GLFIL_rre003mx_1_data.txt   Data      Filzbach                             Precipitation; maximum 3-day total of the month             201308-201406
order_95483_GLFIL_rre003mx_1_legend.txt Legend    Filzbach                             Precipitation; maximum 3-day total of the month             201308-201406
order_95483_GLFIL_rre003mx_2_data.txt   Data      Filzbach                             Precipitation; maximum 3-day total of the month             201407-202006
order_95483_GLFIL_rre003mx_2_legend.txt Legend    Filzbach                             Precipitation; maximum 3-day total of the month             201407-202006
order_95483_GLFIL_rre003mx_3_data.txt   Data      Filzbach                             Precipitation; maximum 3-day total of the month             202007-202105
order_95483_GLFIL_rre003mx_3_legend.txt Legend    Filzbach                             Precipitation; maximum 3-day total of the month             202007-202105
order_95483_IYFRA_rre003mx_1_data.txt   Data      Franzensfeste / Grasstein            Precipitation; maximum 3-day total of the month             200903-201905
order_95483_IYFRA_rre003mx_1_legend.txt Legend    Franzensfeste / Grasstein            Precipitation; maximum 3-day total of the month             200903-201905
order_95483_IYFRA_rre003mx_2_data.txt   Data      Franzensfeste / Grasstein            Precipitation; maximum 3-day total of the month             201906-202105
order_95483_IYFRA_rre003mx_2_legend.txt Legend    Franzensfeste / Grasstein            Precipitation; maximum 3-day total of the month             201906-202105
order_95483_FRS_rre003mx_1_data.txt     Data      Frasco                               Precipitation; maximum 3-day total of the month             196012-199404
order_95483_FRS_rre003mx_1_legend.txt   Legend    Frasco                               Precipitation; maximum 3-day total of the month             196012-199404
order_95483_MMFRS_rre003mx_1_data.txt   Data      Frasco                               Precipitation; maximum 3-day total of the month             201608-201610
order_95483_MMFRS_rre003mx_1_legend.txt Legend    Frasco                               Precipitation; maximum 3-day total of the month             201608-201610
order_95483_MMFRS_rre003mx_2_data.txt   Data      Frasco                               Precipitation; maximum 3-day total of the month             201701-201704
order_95483_MMFRS_rre003mx_2_legend.txt Legend    Frasco                               Precipitation; maximum 3-day total of the month             201701-201704
order_95483_MMFRS_rre003mx_3_data.txt   Data      Frasco                               Precipitation; maximum 3-day total of the month             201705-201709
order_95483_MMFRS_rre003mx_3_legend.txt Legend    Frasco                               Precipitation; maximum 3-day total of the month             201705-201709
order_95483_MMFRS_rre003mx_4_data.txt   Data      Frasco                               Precipitation; maximum 3-day total of the month             201710-201808
order_95483_MMFRS_rre003mx_4_legend.txt Legend    Frasco                               Precipitation; maximum 3-day total of the month             201710-201808
order_95483_MMFRS_rre003mx_5_data.txt   Data      Frasco                               Precipitation; maximum 3-day total of the month             201809-201810
order_95483_MMFRS_rre003mx_5_legend.txt Legend    Frasco                               Precipitation; maximum 3-day total of the month             201809-201810
order_95483_MMFRS_rre003mx_6_data.txt   Data      Frasco                               Precipitation; maximum 3-day total of the month             201811-201901
order_95483_MMFRS_rre003mx_6_legend.txt Legend    Frasco                               Precipitation; maximum 3-day total of the month             201811-201901
order_95483_MMFRS_rre003mx_7_data.txt   Data      Frasco                               Precipitation; maximum 3-day total of the month             201903-201905
