Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95479

Filename                                Filetype  Station                              Parameter                                                   Period
order_95479_BELAT_rre003mx_1_data.txt   Data      Langenthal                           Precipitation; maximum 3-day total of the month             199606-201303
order_95479_BELAT_rre003mx_1_legend.txt Legend    Langenthal                           Precipitation; maximum 3-day total of the month             199606-201303
order_95479_BELAT_rre003mx_2_data.txt   Data      Langenthal                           Precipitation; maximum 3-day total of the month             201304-201403
order_95479_BELAT_rre003mx_2_legend.txt Legend    Langenthal                           Precipitation; maximum 3-day total of the month             201304-201403
order_95479_BELAT_rre003mx_3_data.txt   Data      Langenthal                           Precipitation; maximum 3-day total of the month             201409-201410
order_95479_BELAT_rre003mx_3_legend.txt Legend    Langenthal                           Precipitation; maximum 3-day total of the month             201409-201410
order_95479_TGLOM_rre003mx_1_data.txt   Data      Lommis                               Precipitation; maximum 3-day total of the month             201008-201404
order_95479_TGLOM_rre003mx_1_legend.txt Legend    Lommis                               Precipitation; maximum 3-day total of the month             201008-201404
order_95479_TGLOM_rre003mx_2_data.txt   Data      Lommis                               Precipitation; maximum 3-day total of the month             201405-201504
order_95479_TGLOM_rre003mx_2_legend.txt Legend    Lommis                               Precipitation; maximum 3-day total of the month             201405-201504
order_95479_TGLOM_rre003mx_3_data.txt   Data      Lommis                               Precipitation; maximum 3-day total of the month             201505-201507
order_95479_TGLOM_rre003mx_3_legend.txt Legend    Lommis                               Precipitation; maximum 3-day total of the month             201505-201507
order_95479_TGLOM_rre003mx_4_data.txt   Data      Lommis                               Precipitation; maximum 3-day total of the month             201508-202012
order_95479_TGLOM_rre003mx_4_legend.txt Legend    Lommis                               Precipitation; maximum 3-day total of the month             201508-202012
order_95479_TGLOM_rre003mx_5_data.txt   Data      Lommis                               Precipitation; maximum 3-day total of the month             202101-202105
order_95479_TGLOM_rre003mx_5_legend.txt Legend    Lommis                               Precipitation; maximum 3-day total of the month             202101-202105
order_95479_LUZ_rre003mx_1_data.txt     Data      Luzern                               Precipitation; maximum 3-day total of the month             188007-202105
order_95479_LUZ_rre003mx_1_legend.txt   Legend    Luzern                               Precipitation; maximum 3-day total of the month             188007-202105
order_95479_MAB_rre003mx_1_data.txt     Data      Martigny                             Precipitation; maximum 3-day total of the month             195906-197002
order_95479_MAB_rre003mx_1_legend.txt   Legend    Martigny                             Precipitation; maximum 3-day total of the month             195906-197002
order_95479_MAB_rre003mx_2_data.txt     Data      Martigny                             Precipitation; maximum 3-day total of the month             198908-202105
order_95479_MAB_rre003mx_2_legend.txt   Legend    Martigny                             Precipitation; maximum 3-day total of the month             198908-202105
order_95479_MAH_rre003mx_1_data.txt     Data      Mathod                               Precipitation; maximum 3-day total of the month             199208-199411
order_95479_MAH_rre003mx_1_legend.txt   Legend    Mathod                               Precipitation; maximum 3-day total of the month             199208-199411
order_95479_MAH_rre003mx_2_data.txt     Data      Mathod                               Precipitation; maximum 3-day total of the month             199412-199605
order_95479_MAH_rre003mx_2_legend.txt   Legend    Mathod                               Precipitation; maximum 3-day total of the month             199412-199605
order_95479_MAH_rre003mx_3_data.txt     Data      Mathod                               Precipitation; maximum 3-day total of the month             199611-200112
order_95479_MAH_rre003mx_3_legend.txt   Legend    Mathod                               Precipitation; maximum 3-day total of the month             199611-200112
order_95479_MAH_rre003mx_4_data.txt     Data      Mathod                               Precipitation; maximum 3-day total of the month             200201-200303
order_95479_MAH_rre003mx_4_legend.txt   Legend    Mathod                               Precipitation; maximum 3-day total of the month             200201-200303
order_95479_MAH_rre003mx_5_data.txt     Data      Mathod                               Precipitation; maximum 3-day total of the month             200304-200406
order_95479_MAH_rre003mx_5_legend.txt   Legend    Mathod                               Precipitation; maximum 3-day total of the month             200304-200406
order_95479_MAH_rre003mx_6_data.txt     Data      Mathod                               Precipitation; maximum 3-day total of the month             200407-200907
order_95479_MAH_rre003mx_6_legend.txt   Legend    Mathod                               Precipitation; maximum 3-day total of the month             200407-200907
order_95479_MAH_rre003mx_7_data.txt     Data      Mathod                               Precipitation; maximum 3-day total of the month             200908-202105
order_95479_MAH_rre003mx_7_legend.txt   Legend    Mathod                               Precipitation; maximum 3-day total of the month             200908-202105
order_95479_MEM_rre003mx_1_data.txt     Data      Mettmenstetten                       Precipitation; maximum 3-day total of the month             196012-198404
