Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95667

Filename                                Filetype  Station                              Parameter                                                   Period
order_95667_DLDIG_rhh150mx_1_data.txt   Data      Dillingen                            Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLDIG_rhh150mx_1_legend.txt Legend    Dillingen                            Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLDRE_rhh150mx_1_data.txt   Data      Dresden / Klotzsche                  Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLDRE_rhh150mx_1_legend.txt Legend    Dresden / Klotzsche                  Precipitation; maximum total per hour of the month          202103-202105
order_95667_TGDUS_rhh150mx_1_data.txt   Data      Dussnang                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_TGDUS_rhh150mx_1_legend.txt Legend    Dussnang                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_NABDUE_rhh150mx_1_data.txt  Data      Dübendorf / Giessen                  Precipitation; maximum total per hour of the month          202103-202105
order_95667_NABDUE_rhh150mx_1_legend.txt Legend    Dübendorf / Giessen                  Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLEBE_rhh150mx_1_data.txt   Data      Ebersberg                            Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLEBE_rhh150mx_1_legend.txt Legend    Ebersberg                            Precipitation; maximum total per hour of the month          202103-202105
order_95667_EBK_rhh150mx_1_data.txt     Data      Ebnat-Kappel                         Precipitation; maximum total per hour of the month          202103-202105
order_95667_EBK_rhh150mx_1_legend.txt   Legend    Ebnat-Kappel                         Precipitation; maximum total per hour of the month          202103-202105
order_95667_EGO_rhh150mx_1_data.txt     Data      Egolzwil                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_EGO_rhh150mx_1_legend.txt   Legend    Egolzwil                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_OED_rhh150mx_1_data.txt     Data      Ehrendingen                          Precipitation; maximum total per hour of the month          202103-202105
order_95667_OED_rhh150mx_1_legend.txt   Legend    Ehrendingen                          Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLELZ_rhh150mx_1_data.txt   Data      Elzach / Fisnacht                    Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLELZ_rhh150mx_1_legend.txt Legend    Elzach / Fisnacht                    Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLEMM_rhh150mx_1_data.txt   Data      Emmendingen / Mundingen              Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLEMM_rhh150mx_1_legend.txt Legend    Emmendingen / Mundingen              Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLERF_rhh150mx_1_data.txt   Data      Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLERF_rhh150mx_1_legend.txt Legend    Erfurt / Bindersleben                Precipitation; maximum total per hour of the month          202103-202105
order_95667_TGERM_rhh150mx_1_data.txt   Data      Ermatingen                           Precipitation; maximum total per hour of the month          202103-202105
order_95667_TGERM_rhh150mx_1_legend.txt Legend    Ermatingen                           Precipitation; maximum total per hour of the month          202103-202105
order_95667_ESZ_rhh150mx_1_data.txt     Data      Eschenz                              Precipitation; maximum total per hour of the month          202103-202105
order_95667_ESZ_rhh150mx_1_legend.txt   Legend    Eschenz                              Precipitation; maximum total per hour of the month          202103-202105
order_95667_KAETT_rhh150mx_1_data.txt   Data      Ettingen                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_KAETT_rhh150mx_1_legend.txt Legend    Ettingen                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_EVI_rhh150mx_1_data.txt     Data      Evionnaz                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_EVI_rhh150mx_1_legend.txt   Legend    Evionnaz                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_AGFAW_rhh150mx_1_data.txt   Data      Fahrwangen                           Precipitation; maximum total per hour of the month          202103-202105
order_95667_AGFAW_rhh150mx_1_legend.txt Legend    Fahrwangen                           Precipitation; maximum total per hour of the month          202103-202105
order_95667_FAH_rhh150mx_1_data.txt     Data      Fahy                                 Precipitation; maximum total per hour of the month          202103-202105
order_95667_FAH_rhh150mx_1_legend.txt   Legend    Fahy                                 Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLFEL_rhh150mx_1_data.txt   Data      Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLFEL_rhh150mx_1_legend.txt Legend    Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLFEU_rhh150mx_1_data.txt   Data      Feuchtwangen / Heilbronn             Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLFEU_rhh150mx_1_legend.txt Legend    Feuchtwangen / Heilbronn             Precipitation; maximum total per hour of the month          202103-202105
order_95667_FLW_rhh150mx_1_data.txt     Data      Flawil                               Precipitation; maximum total per hour of the month          202103-202105
order_95667_FLW_rhh150mx_1_legend.txt   Legend    Flawil                               Precipitation; maximum total per hour of the month          202103-202105
order_95667_VDFOL_rhh150mx_1_data.txt   Data      Forel                                Precipitation; maximum total per hour of the month          202103-202105
order_95667_VDFOL_rhh150mx_1_legend.txt Legend    Forel                                Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLHAH_rhh150mx_1_data.txt   Data      Frankfurt / Hahn Flughafen           Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLHAH_rhh150mx_1_legend.txt Legend    Frankfurt / Hahn Flughafen           Precipitation; maximum total per hour of the month          202103-202105
order_95667_TGFRA_rhh150mx_1_data.txt   Data      Frauenfeld                           Precipitation; maximum total per hour of the month          202103-202105
order_95667_TGFRA_rhh150mx_1_legend.txt Legend    Frauenfeld                           Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLFRB_rhh150mx_1_data.txt   Data      Freiburg                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLFRB_rhh150mx_1_legend.txt Legend    Freiburg                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_GRA_rhh150mx_1_data.txt     Data      Fribourg / Grangeneuve               Precipitation; maximum total per hour of the month          202103-202105
order_95667_GRA_rhh150mx_1_legend.txt   Legend    Fribourg / Grangeneuve               Precipitation; maximum total per hour of the month          202103-202105
order_95667_AGFRI_rhh150mx_1_data.txt   Data      Frick                                Precipitation; maximum total per hour of the month          202103-202105
order_95667_AGFRI_rhh150mx_1_legend.txt Legend    Frick                                Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLFRH_rhh150mx_1_data.txt   Data      Friedrichshafen / Unterraderach      Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLFRH_rhh150mx_1_legend.txt Legend    Friedrichshafen / Unterraderach      Precipitation; maximum total per hour of the month          202103-202105
order_95667_VDFEC_rhh150mx_1_data.txt   Data      Féchy                                Precipitation; maximum total per hour of the month          202103-202105
order_95667_VDFEC_rhh150mx_1_legend.txt Legend    Féchy                                Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLFUR_rhh150mx_1_data.txt   Data      Fürstenzell                          Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLFUR_rhh150mx_1_legend.txt Legend    Fürstenzell                          Precipitation; maximum total per hour of the month          202103-202105
order_95667_IYGAR_rhh150mx_1_data.txt   Data      Gargazon                             Precipitation; maximum total per hour of the month          202104-202105
order_95667_IYGAR_rhh150mx_1_legend.txt Legend    Gargazon                             Precipitation; maximum total per hour of the month          202104-202105
order_95667_DLGEI_rhh150mx_1_data.txt   Data      Geisingen                            Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLGEI_rhh150mx_1_legend.txt Legend    Geisingen                            Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLGEL_rhh150mx_1_data.txt   Data      Gelbelsee                            Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLGEL_rhh150mx_1_legend.txt Legend    Gelbelsee                            Precipitation; maximum total per hour of the month          202103-202105
order_95667_VDGEN_rhh150mx_1_data.txt   Data      Genoiler                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_VDGEN_rhh150mx_1_legend.txt Legend    Genoiler                             Precipitation; maximum total per hour of the month          202103-202105
order_95667_GVE_rhh150mx_1_data.txt     Data      Genève / Cointrin                    Precipitation; maximum total per hour of the month          202103-202105
order_95667_GVE_rhh150mx_1_legend.txt   Legend    Genève / Cointrin                    Precipitation; maximum total per hour of the month          202103-202105
order_95667_GEDDU_rhh150mx_1_data.txt   Data      Genève / David-Dufour                Precipitation; maximum total per hour of the month          202103-202105
order_95667_GEDDU_rhh150mx_1_legend.txt Legend    Genève / David-Dufour                Precipitation; maximum total per hour of the month          202103-202105
order_95667_GEERM_rhh150mx_1_data.txt   Data      Genève / L'Ermitage                  Precipitation; maximum total per hour of the month          202103-202105
order_95667_GEERM_rhh150mx_1_legend.txt Legend    Genève / L'Ermitage                  Precipitation; maximum total per hour of the month          202103-202105
order_95667_GES_rhh150mx_1_data.txt     Data      Gersau                               Precipitation; maximum total per hour of the month          202103-202105
order_95667_GES_rhh150mx_1_legend.txt   Legend    Gersau                               Precipitation; maximum total per hour of the month          202103-202105
order_95667_GIH_rhh150mx_1_data.txt     Data      Giswil                               Precipitation; maximum total per hour of the month          202103-202105
