Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94067

Filename                                Filetype  Station                              Parameter                                                   Period
order_94067_MMERZ_rzz150mx_6_legend.txt Legend    Eriz                                 Precipitation; maximum ten minute total of the month        201506-201507
order_94067_MMERZ_rzz150mx_7_data.txt   Data      Eriz                                 Precipitation; maximum ten minute total of the month        201509-201511
order_94067_MMERZ_rzz150mx_7_legend.txt Legend    Eriz                                 Precipitation; maximum ten minute total of the month        201509-201511
order_94067_MMERZ_rzz150mx_8_data.txt   Data      Eriz                                 Precipitation; maximum ten minute total of the month        201605-201710
order_94067_MMERZ_rzz150mx_8_legend.txt Legend    Eriz                                 Precipitation; maximum ten minute total of the month        201605-201710
order_94067_MMERZ_rzz150mx_9_data.txt   Data      Eriz                                 Precipitation; maximum ten minute total of the month        201801-201803
order_94067_MMERZ_rzz150mx_9_legend.txt Legend    Eriz                                 Precipitation; maximum ten minute total of the month        201801-201803
order_94067_MMERZ_rzz150mx_10_data.txt  Data      Eriz                                 Precipitation; maximum ten minute total of the month        201804-201806
order_94067_MMERZ_rzz150mx_10_legend.txt Legend    Eriz                                 Precipitation; maximum ten minute total of the month        201804-201806
order_94067_MMERZ_rzz150mx_11_data.txt  Data      Eriz                                 Precipitation; maximum ten minute total of the month        201807-201809
order_94067_MMERZ_rzz150mx_11_legend.txt Legend    Eriz                                 Precipitation; maximum ten minute total of the month        201807-201809
order_94067_MMERZ_rzz150mx_12_data.txt  Data      Eriz                                 Precipitation; maximum ten minute total of the month        201812-201903
order_94067_MMERZ_rzz150mx_12_legend.txt Legend    Eriz                                 Precipitation; maximum ten minute total of the month        201812-201903
order_94067_MMERZ_rzz150mx_13_data.txt  Data      Eriz                                 Precipitation; maximum ten minute total of the month        201908-202103
order_94067_MMERZ_rzz150mx_13_legend.txt Legend    Eriz                                 Precipitation; maximum ten minute total of the month        201908-202103
order_94067_FLU_rzz150mx_1_data.txt     Data      Flühli, LU                           Precipitation; maximum ten minute total of the month        201510-202103
