Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95481

Filename                                Filetype  Station                              Parameter                                                   Period
order_95481_COC_rre003mx_1_legend.txt   Legend    Corcelles-sur-Chavornay              Precipitation; maximum 3-day total of the month             190612-198612
order_95481_VDCOR_rre003mx_1_data.txt   Data      Corcelles-sur-Chavronay              Precipitation; maximum 3-day total of the month             201212-202105
order_95481_VDCOR_rre003mx_1_legend.txt Legend    Corcelles-sur-Chavronay              Precipitation; maximum 3-day total of the month             201212-202105
order_95481_COS_rre003mx_1_data.txt     Data      Cossonay                             Precipitation; maximum 3-day total of the month             190001-190002
order_95481_COS_rre003mx_1_legend.txt   Legend    Cossonay                             Precipitation; maximum 3-day total of the month             190001-190002
order_95481_COS_rre003mx_2_data.txt     Data      Cossonay                             Precipitation; maximum 3-day total of the month             190004-202105
order_95481_COS_rre003mx_2_legend.txt   Legend    Cossonay                             Precipitation; maximum 3-day total of the month             190004-202105
order_95481_COP_rre003mx_1_data.txt     Data      Courtepin                            Precipitation; maximum 3-day total of the month             197112-201905
order_95481_COP_rre003mx_1_legend.txt   Legend    Courtepin                            Precipitation; maximum 3-day total of the month             197112-201905
order_95481_COP_rre003mx_2_data.txt     Data      Courtepin                            Precipitation; maximum 3-day total of the month             201906-202105
order_95481_COP_rre003mx_2_legend.txt   Legend    Courtepin                            Precipitation; maximum 3-day total of the month             201906-202105
order_95481_GLDBA_rre003mx_1_data.txt   Data      Diesbach                             Precipitation; maximum 3-day total of the month             201308-201406
order_95481_GLDBA_rre003mx_1_legend.txt Legend    Diesbach                             Precipitation; maximum 3-day total of the month             201308-201406
order_95481_GLDBA_rre003mx_2_data.txt   Data      Diesbach                             Precipitation; maximum 3-day total of the month             201407-201609
order_95481_GLDBA_rre003mx_2_legend.txt Legend    Diesbach                             Precipitation; maximum 3-day total of the month             201407-201609
order_95481_GLDBA_rre003mx_3_data.txt   Data      Diesbach                             Precipitation; maximum 3-day total of the month             201611-202006
order_95481_GLDBA_rre003mx_3_legend.txt Legend    Diesbach                             Precipitation; maximum 3-day total of the month             201611-202006
order_95481_GLDBA_rre003mx_4_data.txt   Data      Diesbach                             Precipitation; maximum 3-day total of the month             202007-202105
order_95481_GLDBA_rre003mx_4_legend.txt Legend    Diesbach                             Precipitation; maximum 3-day total of the month             202007-202105
order_95481_TGDUS_rre003mx_1_data.txt   Data      Dussnang                             Precipitation; maximum 3-day total of the month             201008-201009
order_95481_TGDUS_rre003mx_1_legend.txt Legend    Dussnang                             Precipitation; maximum 3-day total of the month             201008-201009
order_95481_TGDUS_rre003mx_2_data.txt   Data      Dussnang                             Precipitation; maximum 3-day total of the month             201010-201404
order_95481_TGDUS_rre003mx_2_legend.txt Legend    Dussnang                             Precipitation; maximum 3-day total of the month             201010-201404
order_95481_TGDUS_rre003mx_3_data.txt   Data      Dussnang                             Precipitation; maximum 3-day total of the month             201405-201406
order_95481_TGDUS_rre003mx_3_legend.txt Legend    Dussnang                             Precipitation; maximum 3-day total of the month             201405-201406
order_95481_TGDUS_rre003mx_4_data.txt   Data      Dussnang                             Precipitation; maximum 3-day total of the month             201407-201505
order_95481_TGDUS_rre003mx_4_legend.txt Legend    Dussnang                             Precipitation; maximum 3-day total of the month             201407-201505
order_95481_TGDUS_rre003mx_5_data.txt   Data      Dussnang                             Precipitation; maximum 3-day total of the month             201508-202105
order_95481_TGDUS_rre003mx_5_legend.txt Legend    Dussnang                             Precipitation; maximum 3-day total of the month             201508-202105
