Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95668

Filename                                Filetype  Station                              Parameter                                                   Period
order_95668_DLFRS_rhh150mx_1_data.txt   Data      Freudenstadt                         Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLFRS_rhh150mx_1_legend.txt Legend    Freudenstadt                         Precipitation; maximum total per hour of the month          202103-202105
order_95668_FRU_rhh150mx_1_data.txt     Data      Frutigen                             Precipitation; maximum total per hour of the month          202103-202105
order_95668_FRU_rhh150mx_1_legend.txt   Legend    Frutigen                             Precipitation; maximum total per hour of the month          202103-202105
order_95668_BEGAD_rhh150mx_1_data.txt   Data      Gadmen                               Precipitation; maximum total per hour of the month          202103-202105
order_95668_BEGAD_rhh150mx_1_legend.txt Legend    Gadmen                               Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLGAR_rhh150mx_1_data.txt   Data      Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLGAR_rhh150mx_1_legend.txt Legend    Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          202103-202105
order_95668_GRH_rhh150mx_1_data.txt     Data      Grimsel Hospiz                       Precipitation; maximum total per hour of the month          202103-202105
order_95668_GRH_rhh150mx_1_legend.txt   Legend    Grimsel Hospiz                       Precipitation; maximum total per hour of the month          202103-202105
order_95668_BEGWA_rhh150mx_1_data.txt   Data      Grindelwald / Oberläger              Precipitation; maximum total per hour of the month          202103-202105
order_95668_BEGWA_rhh150mx_1_legend.txt Legend    Grindelwald / Oberläger              Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLGRO_rhh150mx_1_data.txt   Data      Grosser Arber                        Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLGRO_rhh150mx_1_legend.txt Legend    Grosser Arber                        Precipitation; maximum total per hour of the month          202103-202105
order_95668_GRC_rhh150mx_1_data.txt     Data      Grächen                              Precipitation; maximum total per hour of the month          202103-202105
order_95668_GRC_rhh150mx_1_legend.txt   Legend    Grächen                              Precipitation; maximum total per hour of the month          202103-202105
order_95668_GSG_rhh150mx_1_data.txt     Data      Gsteig, Gstaad                       Precipitation; maximum total per hour of the month          202103-202105
order_95668_GSG_rhh150mx_1_legend.txt   Legend    Gsteig, Gstaad                       Precipitation; maximum total per hour of the month          202103-202105
order_95668_BERIF_rhh150mx_1_data.txt   Data      Guggisberg / Riffenmatt              Precipitation; maximum total per hour of the month          202103-202105
order_95668_BERIF_rhh150mx_1_legend.txt Legend    Guggisberg / Riffenmatt              Precipitation; maximum total per hour of the month          202103-202105
order_95668_GTT_rhh150mx_1_data.txt     Data      Guttannen                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_GTT_rhh150mx_1_legend.txt   Legend    Guttannen                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_MMGTT_rhh150mx_1_data.txt   Data      Guttannen                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_MMGTT_rhh150mx_1_legend.txt Legend    Guttannen                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_GOS_rhh150mx_1_data.txt     Data      Göschenen                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_GOS_rhh150mx_1_legend.txt   Legend    Göschenen                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_GOA_rhh150mx_1_data.txt     Data      Göscheneralp                         Precipitation; maximum total per hour of the month          202103-202105
order_95668_GOA_rhh150mx_1_legend.txt   Legend    Göscheneralp                         Precipitation; maximum total per hour of the month          202103-202105
order_95668_GUE_rhh150mx_1_data.txt     Data      Gütsch, Andermatt                    Precipitation; maximum total per hour of the month          202103-202105
order_95668_GUE_rhh150mx_1_legend.txt   Legend    Gütsch, Andermatt                    Precipitation; maximum total per hour of the month          202103-202105
order_95668_BEHAK_rhh150mx_1_data.txt   Data      Habkern                              Precipitation; maximum total per hour of the month          202103-202105
order_95668_BEHAK_rhh150mx_1_legend.txt Legend    Habkern                              Precipitation; maximum total per hour of the month          202103-202105
order_95668_BEHAB_rhh150mx_1_data.txt   Data      Hasliberg                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_BEHAB_rhh150mx_1_legend.txt Legend    Hasliberg                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_GLSAN_rhh150mx_1_data.txt   Data      Hinter Sand                          Precipitation; maximum total per hour of the month          202103-202105
order_95668_GLSAN_rhh150mx_1_legend.txt Legend    Hinter Sand                          Precipitation; maximum total per hour of the month          202103-202105
order_95668_IYHIN_rhh150mx_1_data.txt   Data      Hintermartell                        Precipitation; maximum total per hour of the month          202104-202105
order_95668_IYHIN_rhh150mx_1_legend.txt Legend    Hintermartell                        Precipitation; maximum total per hour of the month          202104-202105
order_95668_MMHIR_rhh150mx_1_data.txt   Data      Hinterrhein                          Precipitation; maximum total per hour of the month          202103-202105
order_95668_MMHIR_rhh150mx_1_legend.txt Legend    Hinterrhein                          Precipitation; maximum total per hour of the month          202103-202105
order_95668_ZHHOF_rhh150mx_1_data.txt   Data      Hofstetten / Schümberg               Precipitation; maximum total per hour of the month          202103-202105
order_95668_ZHHOF_rhh150mx_1_legend.txt Legend    Hofstetten / Schümberg               Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLHOH_rhh150mx_1_data.txt   Data      Hohenpeissenberg                     Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLHOH_rhh150mx_1_legend.txt Legend    Hohenpeissenberg                     Precipitation; maximum total per hour of the month          202103-202105
order_95668_HOE_rhh150mx_1_data.txt     Data      Hörnli                               Precipitation; maximum total per hour of the month          202103-202105
order_95668_HOE_rhh150mx_1_legend.txt   Legend    Hörnli                               Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLIMR_rhh150mx_1_data.txt   Data      Immenstadt / Reute                   Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLIMR_rhh150mx_1_legend.txt Legend    Immenstadt / Reute                   Precipitation; maximum total per hour of the month          202103-202105
order_95668_INN_rhh150mx_1_data.txt     Data      Innerthal                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_INN_rhh150mx_1_legend.txt   Legend    Innerthal                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_VSISE_rhh150mx_1_data.txt   Data      Isérables                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_VSISE_rhh150mx_1_legend.txt Legend    Isérables                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_VSJEI_rhh150mx_1_data.txt   Data      Jeizinen                             Precipitation; maximum total per hour of the month          202103-202105
order_95668_VSJEI_rhh150mx_1_legend.txt Legend    Jeizinen                             Precipitation; maximum total per hour of the month          202103-202105
