Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 93928

Filename                                Filetype  Station                              Parameter                                                   Period
order_93928_DLMIT_tre200d0_1_legend.txt Legend    Mittenwald                           Air temperature 2 m above ground; daily mean                19361231-19430830
order_93928_DLMIT_tre200d0_2_data.txt   Data      Mittenwald                           Air temperature 2 m above ground; daily mean                19451231-19751030
order_93928_DLMIT_tre200d0_2_legend.txt Legend    Mittenwald                           Air temperature 2 m above ground; daily mean                19451231-19751030
order_93928_DLMIT_tre200d0_3_data.txt   Data      Mittenwald                           Air temperature 2 m above ground; daily mean                19751231-20210414
order_93928_DLMIT_tre200d0_3_legend.txt Legend    Mittenwald                           Air temperature 2 m above ground; daily mean                19751231-20210414
order_93928_MSO_tre200d0_1_data.txt     Data      Mont-Soleil                          Air temperature 2 m above ground; daily mean                19071231-19831230
order_93928_MSO_tre200d0_1_legend.txt   Legend    Mont-Soleil                          Air temperature 2 m above ground; daily mean                19071231-19831230
order_93928_MBR_tre200d0_1_data.txt     Data      Monte Bre s.Lugano                   Air temperature 2 m above ground; daily mean                19651231-19871129
order_93928_MBR_tre200d0_1_legend.txt   Legend    Monte Bre s.Lugano                   Air temperature 2 m above ground; daily mean                19651231-19871129
order_93928_BEMOE_tre200d0_1_data.txt   Data      Moosegg                              Air temperature 2 m above ground; daily mean                20130410-20151202
order_93928_BEMOE_tre200d0_1_legend.txt Legend    Moosegg                              Air temperature 2 m above ground; daily mean                20130410-20151202
order_93928_BEMOE_tre200d0_2_data.txt   Data      Moosegg                              Air temperature 2 m above ground; daily mean                20160203-20170529
order_93928_BEMOE_tre200d0_2_legend.txt Legend    Moosegg                              Air temperature 2 m above ground; daily mean                20160203-20170529
order_93928_IYMUW_tre200d0_1_data.txt   Data      Mühlwald                             Air temperature 2 m above ground; daily mean                19751231-19821230
order_93928_IYMUW_tre200d0_1_legend.txt Legend    Mühlwald                             Air temperature 2 m above ground; daily mean                19751231-19821230
order_93928_IYMUW_tre200d0_2_data.txt   Data      Mühlwald                             Air temperature 2 m above ground; daily mean                19940502-20210414
order_93928_IYMUW_tre200d0_2_legend.txt Legend    Mühlwald                             Air temperature 2 m above ground; daily mean                19940502-20210414
order_93928_WSLNOB_tre200d0_1_data.txt  Data      Novaggio Bestand                     Air temperature 2 m above ground; daily mean                20171231-20210414
order_93928_WSLNOB_tre200d0_1_legend.txt Legend    Novaggio Bestand                     Air temperature 2 m above ground; daily mean                20171231-20210414
order_93928_WSLNOF_tre200d0_1_data.txt  Data      Novaggio Freiland                    Air temperature 2 m above ground; daily mean                20171231-20210414
order_93928_WSLNOF_tre200d0_1_legend.txt Legend    Novaggio Freiland                    Air temperature 2 m above ground; daily mean                20171231-20210414
order_93928_OBI_tre200d0_1_data.txt     Data      Oberiberg                            Air temperature 2 m above ground; daily mean                19581231-19951230
order_93928_OBI_tre200d0_1_legend.txt   Legend    Oberiberg                            Air temperature 2 m above ground; daily mean                19581231-19951230
order_93928_MMOBE_tre200d0_1_data.txt   Data      Oberthal                             Air temperature 2 m above ground; daily mean                20121125-20210414
order_93928_MMOBE_tre200d0_1_legend.txt Legend    Oberthal                             Air temperature 2 m above ground; daily mean                20121125-20210414
order_93928_OLI_tre200d0_1_data.txt     Data      Olivone                              Air temperature 2 m above ground; daily mean                19751231-19880130
order_93928_OLI_tre200d0_1_legend.txt   Legend    Olivone                              Air temperature 2 m above ground; daily mean                19751231-19880130
order_93928_DLOYM_tre200d0_1_data.txt   Data      Oy-Mittelberg / Petersthal           Air temperature 2 m above ground; daily mean                19930930-20210414
order_93928_DLOYM_tre200d0_1_legend.txt Legend    Oy-Mittelberg / Petersthal           Air temperature 2 m above ground; daily mean                19930930-20210414
order_93928_PIO_tre200d0_1_data.txt     Data      Piotta                               Air temperature 2 m above ground; daily mean                19790131-20210414
order_93928_PIO_tre200d0_1_legend.txt   Legend    Piotta                               Air temperature 2 m above ground; daily mean                19790131-20210414
order_93928_PLF_tre200d0_1_data.txt     Data      Plaffeien                            Air temperature 2 m above ground; daily mean                19890928-20210414
order_93928_PLF_tre200d0_1_legend.txt   Legend    Plaffeien                            Air temperature 2 m above ground; daily mean                19890928-20210414
order_93928_PFN_tre200d0_1_data.txt     Data      Plaffeien                            Air temperature 2 m above ground; daily mean                19711231-19891230
order_93928_PFN_tre200d0_1_legend.txt   Legend    Plaffeien                            Air temperature 2 m above ground; daily mean                19711231-19891230
order_93928_ROB_tre200d0_1_data.txt     Data      Poschiavo / Robbia                   Air temperature 2 m above ground; daily mean                19581231-20210414
order_93928_ROB_tre200d0_1_legend.txt   Legend    Poschiavo / Robbia                   Air temperature 2 m above ground; daily mean                19581231-20210414
order_93928_REC_tre200d0_1_data.txt     Data      Reckingen                            Air temperature 2 m above ground; daily mean                19331231-19730830
order_93928_REC_tre200d0_1_legend.txt   Legend    Reckingen                            Air temperature 2 m above ground; daily mean                19331231-19730830
order_93928_REC_tre200d0_2_data.txt     Data      Reckingen                            Air temperature 2 m above ground; daily mean                19731130-19811230
order_93928_REC_tre200d0_2_legend.txt   Legend    Reckingen                            Air temperature 2 m above ground; daily mean                19731130-19811230
order_93928_NABRIG_tre200d0_1_data.txt  Data      Rigi-Seebodenalp                     Air temperature 2 m above ground; daily mean                19910613-20210414
order_93928_NABRIG_tre200d0_1_legend.txt Legend    Rigi-Seebodenalp                     Air temperature 2 m above ground; daily mean                19910613-20210414
order_93928_MMSAA_tre200d0_1_data.txt   Data      Saanen                               Air temperature 2 m above ground; daily mean                20141223-20180703
order_93928_MMSAA_tre200d0_1_legend.txt Legend    Saanen                               Air temperature 2 m above ground; daily mean                20141223-20180703
